	Vg
Cre01.g004800	0.454672962347066
Cre01.g004850	0.4248552549288584
Cre01.g004900	1.6802936012719658
Cre01.g800008	0.0
Cre01.g004950	0.23840770231659564
Cre01.g005001	0.4901939117593484
Cre01.g800009	0.0
Cre01.g005050	0.0
Cre01.g005100	0.08901967068294118
Cre01.g005150	0.0
Cre01.g005200	0.5466231489438533
Cre01.g005300	1.4542715134024455
Cre01.g005400	0.547213811485144
Cre01.g005450	0.07636807736876915
Cre01.g005500	4.874359637009928e-10
Cre01.g005543	0.0
Cre01.g005550	0.0
Cre01.g005600	0.12611035577884167
Cre01.g005651	7.769467077211499
Cre01.g005701	0.9532112116043217
Cre01.g005750	0.4572749215883502
Cre01.g005813	0.2593783917425218
Cre01.g800010	0.0
Cre01.g005850	0.15030336121208102
Cre01.g005900	0.0
Cre01.g005950	0.45523381767632803
Cre01.g006000	0.0
Cre01.g006050	9.969106434378534e-08
Cre01.g006100	0.18933282778445984
Cre01.g006150	0.0
Cre01.g800011	0.0
Cre01.g006450	0.0
Cre01.g006600	0.0
Cre01.g800012	0.0
Cre01.g800013	0.0
Cre01.g800014	0.03753392929804584
Cre01.g800015	0.0477674550346308
Cre01.g800016	0.8538241211165906
Cre28.g757747	0.0
Cre01.g800017	0.0
Cre28.g757647	0.0
Cre28.g757547	0.0
Cre01.g800018	0.0
Cre01.g800019	0.0
Cre01.g800020	2.1884559368509215
Cre01.g800021	0.0
Cre01.g006766	0.0
Cre01.g800022	0.180903617179546
Cre01.g006800	0.05979700172691209
Cre01.g006850	1.6965008492223143e-09
Cre01.g006900	1.3094317045571588
Cre01.g800023	1.0506679934539984
Cre01.g800024	0.5583871078383291
Cre01.g800025	0.7935963084624602
Cre01.g006950	2.6616686848436735
Cre01.g007000	0.7563089532603643
Cre01.g007050	0.017679666599541028
Cre01.g007051	0.0802892801962182
Cre01.g007100	3.4799905754160695e-10
Cre01.g007150	2.8762334460169002e-08
Cre01.g007200	2.1833401656197304e-10
Cre01.g007251	1.2101374307020742
Cre01.g007300	0.17178768682476828
Cre01.g007350	1.8148798380257372
Cre01.g007400	0.0
Cre01.g007450	1.7219653539358461e-10
Cre01.g007500	3.555681409491896e-09
Cre01.g007550	0.7344154732080761
Cre01.g007600	0.8367527355338289
Cre01.g007651	0.0
Cre01.g007700	0.0
Cre01.g007737	0.0
Cre01.g007774	0.10688172913662806
Cre01.g007811	0.5206018321182024
Cre01.g007850	0.0
Cre01.g007901	0.1951785871701125
Cre01.g800026	0.625637980967612
Cre01.g007950	2.8147798590506667
Cre01.g008000	0.10279715816059556
Cre01.g008051	0.08058074377942819
Cre01.g008100	0.12863408929601783
Cre01.g008150	8.181583641835347e-07
Cre01.g008200	0.46151353991597666
Cre01.g008250	1.287520817196636
Cre01.g008300	0.23035634501223973
Cre01.g008350	0.2194042141996302
Cre01.g800027	1.3283108748389116
Cre01.g800028	1.971045907455848
Cre01.g800029	2.559513374552505
Cre01.g800030	3.550515234505038
Cre01.g008450	0.8194029137005435
Cre01.g008500	6.309719926439623e-10
Cre01.g008550	1.769295916659361e-10
Cre01.g008600	9.081662083938142e-09
Cre01.g008650	1.0554705719151525
Cre01.g008700	0.9441303199381387
Cre01.g008750	2.183628850634417
Cre01.g008800	0.9493163979881845
Cre01.g008850	0.10848394554309233
Cre01.g008891	0.6244830287366684
Cre01.g008900	2.237479824452353
Cre01.g008950	13.834452548246453
Cre01.g800031	2.052894073998529
Cre01.g009000	3.9314591607728793
Cre01.g800032	3.4267045175742802e-06
Cre01.g009050	1.3363983259905985
Cre01.g009101	3.6231066093968938
Cre01.g009150	0.08454274408023875
Cre01.g009200	0.3787870915933336
Cre01.g009250	2.3887226944226274
Cre01.g009300	5.1246146795412716e-08
Cre01.g009325	0.25852359116757845
Cre01.g009350	0.15253234160332332
Cre01.g009400	0.7962767274879464
Cre01.g009450	0.0
Cre01.g009500	0.0
Cre01.g009550	0.48165542635374825
Cre01.g009575	1.7475767298774736
Cre01.g800033	2.677935708639242
Cre01.g009650	3.3856883117057763
Cre01.g009700	0.0
Cre01.g009731	3.162017701645995e-10
Cre01.g009765	0.20525909752036664
Cre01.g009800	0.05706094689160488
Cre01.g009850	0.12820228978126294
Cre01.g009900	0.043980646298071274
Cre01.g009950	3.5949964865821843e-10
Cre01.g010000	0.0
Cre01.g010050	0.0013045141802402534
Cre01.g010100	1.0373551880292016
Cre01.g010150	7.555608811151526e-09
Cre01.g010201	0.05919907652915323
Cre01.g010250	0.22776502017437053
Cre01.g010296	0.3222888574222128
Cre01.g010300	1.4740981064647998
Cre01.g800034	2.2286091659223814e-09
Cre01.g800035	0.38092291881788803
Cre01.g010350	0.4743797553877407
Cre01.g010400	1.9755981220407952
Cre01.g010450	0.6168522810799281
Cre01.g010500	0.18193485987215505
Cre01.g010550	0.19360680011772935
Cre01.g010650	9.626114890371958e-10
Cre01.g010700	0.2782568618824062
Cre01.g010750	0.429997772734545
Cre01.g010800	0.0
Cre01.g010816	0.6383586691325889
Cre01.g010832	1.2384180593138352
Cre01.g010848	0.0
Cre01.g010864	0.5995282260519259
Cre01.g010880	1.9354514962804192e-10
Cre01.g010900	0.6405284386568233
Cre01.g010950	0.04120474048212199
Cre01.g800036	0.6046949536006175
Cre01.g011000	0.05357956231668457
Cre01.g800037	0.24718941969381084
Cre01.g011100	0.0
Cre01.g011150	0.07643398171457676
Cre01.g011200	0.0
Cre01.g011250	1.3891618807059047
Cre01.g011300	0.12452566447826369
Cre01.g011350	1.375352744435669e-09
Cre01.g011400	0.0
Cre01.g011450	0.40245399530075093
Cre01.g011500	4.642868657174869e-09
Cre01.g011550	1.326464819055451
Cre01.g011600	0.0
Cre01.g011630	0.3672547881670259
Cre01.g011660	2.1369478603663308
Cre01.g011750	0.8040102613054882
Cre01.g011800	0.0043710535792488535
Cre01.g011850	2.6538219324439794e-07
Cre01.g011901	0.3309565943000279
Cre01.g800038	1.0292072615981502
Cre01.g800039	0.5450498511268341
Cre01.g012000	6.25167118843263e-10
Cre01.g012050	2.5424637734336875
Cre01.g800040	2.5424637734336875
Cre01.g012100	2.3718871228718017
Cre01.g012126	0.2636249038428382
Cre01.g012150	0.17731364823274626
Cre01.g012200	0.0
Cre01.g800041	0.47076112909857837
Cre01.g012300	2.5628086527442083e-10
Cre01.g012350	0.010980813068752072
Cre01.g012400	1.3016076081508978
Cre01.g012450	0.03632562593363466
Cre01.g012500	0.10350658866091206
Cre01.g012550	0.04706066233692865
Cre01.g012600	4.5812504389395483e-10
Cre01.g012650	0.635869178303507
Cre01.g012700	0.39531030898631786
Cre01.g012750	0.0
Cre01.g012800	0.327412896754331
Cre01.g012850	0.11660916611137052
Cre01.g012900	0.010253999763825225
Cre01.g012950	2.328219643216242e-10
Cre01.g013000	0.614490607133958
Cre01.g013050	0.0
Cre01.g013100	0.7469368289976254
Cre01.g013150	0.3127368858464034
Cre01.g800042	1.9503973686985125e-10
Cre01.g013200	0.0
Cre01.g013250	5.86835804837909e-10
Cre01.g013300	0.0
Cre01.g013350	1.892025549795426
Cre01.g013400	5.404104719643809e-08
Cre01.g013450	0.9330485185410317
Cre01.g800043	2.9048303018830346
Cre01.g013500	4.127878423554842
Cre01.g013550	0.28209222575814674
Cre01.g013600	3.2810624488559913e-18
Cre01.g013650	5.080065230298523e-10
Cre01.g013700	0.1530803216269543
Cre01.g013750	1.5038136140879005e-08
Cre01.g013769	0.043252111456548066
Cre01.g013800	3.0159799126038376e-09
Cre01.g013801	0.0
Cre01.g013850	3.901526584473587e-09
Cre01.g013900	1.8704721836689402e-10
Cre01.g014000	0.21687737272272323
Cre01.g014050	5.258083259972479e-07
Cre01.g014100	0.03250335033680668
Cre01.g014150	0.0
Cre01.g014200	0.2183888697676952
Cre01.g014250	0.9695666021790995
Cre01.g800044	0.16269589990044853
Cre01.g014300	0.13761509339939357
Cre01.g014350	1.222887095948106e-09
Cre01.g014400	0.0
Cre01.g014450	0.2032249397658404
Cre01.g014500	0.0
Cre01.g800045	0.0
Cre01.g800046	0.0
Cre01.g800047	0.11703501310041756
Cre01.g014650	1.4159138669231354e-09
Cre01.g014700	1.887143471850687e-09
Cre01.g014751	0.0
Cre01.g014800	0.007839488980989455
Cre01.g014850	0.0
Cre01.g014900	0.6012346680969423
Cre01.g014950	1.2933222661166193
Cre01.g015000	1.5661394741000284e-15
Cre01.g015050	0.0
Cre01.g015103	0.04027140206634819
Cre01.g015100	1.2778145399389227
Cre01.g015150	0.6331779481272909
Cre01.g015200	0.5308713014441075
Cre01.g015250	0.19224777528934583
Cre01.g015300	1.9884777918264648e-10
Cre01.g015350	2.259732172430455
Cre01.g015400	0.21607737139234626
Cre01.g015451	0.09514355867671309
Cre01.g015500	0.3590447648408186
Cre01.g015550	0.0
Cre01.g015600	0.0
Cre01.g800048	2.1927784381390314e-10
Cre01.g015650	0.0
Cre01.g015700	0.2511457048456666
Cre01.g800049	0.37144501887455716
Cre01.g015750	0.3922234963290413
Cre01.g800050	0.3199486884897811
Cre01.g800051	0.05900711570220836
Cre01.g015850	0.18278594646332236
Cre01.g800052	0.01545459758020291
Cre01.g015950	0.308783859676056
Cre01.g016001	0.0
Cre01.g016050	0.0
Cre01.g016100	0.33787365392082996
Cre01.g016150	0.4570081509071615
Cre01.g016200	0.46376650964456656
Cre01.g016250	0.3049984128998672
Cre01.g016300	0.7891039016707404
Cre01.g016350	0.432356591345913
Cre01.g016400	0.39078011839019894
Cre01.g016450	1.8756135145305347e-10
Cre01.g016500	0.008704106543420513
Cre01.g016514	0.06588571940046774
Cre01.g016528	0.06457889321923829
Cre01.g016542	0.6190671712569937
Cre01.g016556	0.0
Cre01.g016570	0.16472930510663925
Cre01.g016600	1.3969140867183627
Cre01.g800053	1.1144115722841956
Cre01.g016700	1.2734975193566929
Cre01.g016750	0.7956537752551275
Cre01.g016800	0.17378138027604892
Cre01.g016850	0.0
Cre01.g016900	0.4735050682778008
Cre01.g016950	0.05997034766541514
Cre01.g800054	0.1608691655791921
Cre01.g017050	0.0
Cre01.g017100	0.0
Cre01.g017150	0.45147157342798916
Cre01.g017200	0.0
Cre01.g017250	0.0
Cre01.g017300	0.07459062128049923
Cre01.g017350	0.13285938656783153
Cre01.g017400	0.0
Cre01.g017450	0.3559370741180837
Cre01.g017500	0.10478793194737761
Cre01.g017550	0.01862996767897092
Cre01.g017600	0.8896458196863672
Cre01.g017650	0.019857719848568038
Cre01.g800055	1.2912376000313983
Cre01.g800056	0.0
Cre01.g017850	4.768074415936756
Cre01.g017900	0.474872816071033
Cre01.g017951	0.0
Cre01.g018000	0.0
Cre01.g018050	0.0
Cre01.g018075	0.060208989414752376
Cre01.g018100	3.3506114309478846e-10
Cre01.g018150	0.0
Cre01.g800057	0.0
Cre01.g018200	1.7989994074068206e-08
Cre01.g800058	0.8300756170195946
Cre01.g800059	0.18634284536537998
Cre01.g018350	1.5517284166766097e-10
Cre01.g018400	0.0
Cre01.g018450	0.169152876061616
Cre01.g018500	0.0
Cre01.g018550	0.07019859407776662
Cre01.g018600	0.16195357973135208
Cre01.g018650	0.10148876867643528
Cre01.g018700	0.5537266734600628
Cre01.g018750	0.0
Cre01.g018800	0.15738862196556436
Cre01.g018850	0.32057729940288615
Cre01.g018900	0.2981865213286749
Cre01.g800060	0.4379240466427988
Cre01.g018950	2.117457140281606e-07
