	pval	sigma2	beta	within_variance	shared_beta	selection	Vg	average_ED	average_Vm	color	weight	Vg/Vm
Cre24.g755347	0.0718136786461685	13.4976204141892	1.02320414287987	13.810821126818295	24.8057395401286	stabilizing	0.0896429413887061	0.0880505676936543	0.001514608705754	lightgrey	0.1	59.18554478668482
Cre05.g230650	0.0050378833734693	62.4759154335274	0.590641205091212	36.900849980835275	24.8057395401286	directional	0.83603121434428	0.1177082225494841	0.0008010054745219	red	1.0	1043.7272165253128
Cre24.g755447	7.59744876388699e-06	25.8065569119704	0.242360819021377	6.254498269306923	24.8057395401286	directional	0.1402782545395984	0.1186115842293741	0.0012113233303278	red	2.0	115.80578944321766
Cre05.g232100	7.42852548034132e-05	114.197063743981	0.155902204607208	17.8035739973565	24.8057395401286	directional	0.2927274888354139	0.1263991571913103	0.0006598481985276	red	2.0	443.62853378794176
Cre14.g621751	0.0732449300396532	12.6510718844853	1.01463269434826	12.836191152548839	24.8057395401286	stabilizing	0.0221568706668534	0.1003903069771455	0.0012012828980799	lightgrey	0.1	18.44434038166062
Cre14.g801627	0.0016700483014228	54.2608619001815	0.434004623227477	23.549464924986435	24.8057395401286	directional	0.845264047345469	0.1063154984418348	0.0009564602250255	red	1.5	883.7419740302673
Cre14.g621250	0.101253138737071	18.3847522489352	0.492564499435225	9.055676288737395	24.8057395401286	stabilizing	0.2204606300313724	0.0463635063343126	0.0012974478551024	lightgrey	0.1	169.91868240745035
Cre14.g621000	0.0002190369304846	33.2842547600578	0.118911805092613	3.9578908146808693	24.8057395401286	directional	1.9065171103993304e-10	0.049836527962768	0.0013132260910996	red	1.5	1.4517813218308446e-07
Cre14.g620400	0.0055261098125369	9.1549645062929	0.193591160998849	1.772320207676497	24.8057395401286	directional	0.2900114724249768	0.0975135535945158	0.0014546506735768	red	1.0	199.36846535936746
Cre14.g620350	0.185889100487765	26.302492576905	1.05513759072919	27.752748647767945	24.8057395401286	stabilizing	0.4323774378696214	0.0254611610595198	0.0010531467934955	lightgrey	0.1	410.5576169818808
Cre14.g620300	0.0054037056666494	503.911214308383	0.213658748636771	107.66503947316485	24.8057395401286	directional	0.415840475827082	0.0757673091845513	0.001180076531791	red	1.0	352.38432815536265
Cre02.g141100	0.0001916189920639	26.7575774544816	0.306021624756675	8.188397327173034	24.8057395401286	directional	0.3682431088595729	0.0828936183617424	0.0016828181861923	red	1.5	218.82524914518174
Cre02.g141200	0.0002552847817477	70.8008782116478	0.254636171168344	18.028464543170227	24.8057395401286	directional	0.2583100620166131	0.1018149292752698	0.0014323641749978	red	1.5	180.33825930965486
Cre02.g141550	0.172802308880458	63.9183798360373	0.433958644418627	27.737933467081653	24.8057395401286	stabilizing	0.4668754829907311	0.0536158339953869	0.0017304535459439	lightgrey	0.1	269.79948932178206
Cre02.g142200	0.0026767092946156	28.4295177171755	0.575348807986806	16.356889130216707	24.8057395401286	directional	0.6335904241477531	0.1189758865193008	0.0016545392398586	red	1.0	382.94070571689855
Cre02.g142350	0.0046589935499981	11.0174268305339	0.589027145497316	6.489563476714925	24.8057395401286	directional	0.1304606424785086	0.1083300298175739	0.0014336943404722	red	1.0	90.99613411010623
