CINC	CSCH	k0	k4	sites
g16014	g205	0.2201431632589561	0.6941061227539957	10311.0
g16015	g206	0.0656947906314012	0.3839406855955541	2817.0
g16016	g207	0.1589876371638618	0.4243558186375077	532.0
g16017	g208	0.1443554461934794	0.6017598543937029	1062.0
g16018	g209	0.0699005941882856	0.38043585181358014	1362.0
g16019	g214	0.0793551334572508	0.3539147085452641	1531.0
g16020	g215	0.3098367827409095	0.5989863985278439	4417.0
g16021	g216	0.0677470142878589	0.32786167722495974	2321.0
g16024	g218	0.0698178172995089	0.49954966646795607	424.0
g16025	g219	0.1346797828804541	0.5218130030290061	2715.0
g16026	g220	0.0042674368332589	0.15148695089483383	1430.0
g16027	g221	0.0619891969996262	0.3533114719163899	2032.0
g16029	g222	0.0607350340873059	0.2710691600229977	1726.0
g16030	g223	0.0145282993169997	0.6000894750840848	215.0
g16031	g224	0.2351016997454076	0.7497228413394441	3633.0
g16032	g225	0.1057749774572379	0.35212307120485853	2051.0
g16036	g227	0.0107721780002711	0.2970565258187439	292.0
g16037	g228	0.0567838663017722	0.5596287366511241	1351.0
g16038	g229	0.0084507936347567	0.1820202639277493	538.0
g16039	g231	0.2755835745920907	0.730567859783065	4914.0
g16041	g232	0.0500185308740041	0.20119798994600957	751.0
g16042	g233	0.0784033566797721	0.25355034996827164	1357.0
g16043	g234	0.1536734693344368	0.6032796117526273	675.0
g16044	g235	0.0541698780405122	0.3453936639683938	1093.0
g16045	g236	0.1639483167539341	0.26779350924084155	1700.0
g16046	g237	0.1796738531937063	0.523881842775998	5908.0
g16047	g238	0.1064776959527904	0.44335466993432254	1233.0
g16048	g239	0.3693573638233455	0.6589448980913719	2634.0
g16049	g241	0.1242577899935004	0.37803220333558385	3766.0
g16053	g245	0.2090397191801555	0.5729799248464182	2958.0
g16056	g246	0.2006655760606081	0.5260502417374994	1562.0
g16058	g248	0.0541902297727173	0.4032650571379678	1161.0
g16059	g249	0.16394504125857	0.4985991191667678	1529.0
g16060	g250	0.0343571520234706	0.20563833594114056	817.0
g16061	g251	0.0490559433068441	0.35967981019641465	530.0
g16062	g252	0.0825006714107463	0.38778175504322954	3194.0
g16063	g253	0.140684098193944	0.544959252640869	1679.0
g16064	g254	0.2343155927253489	0.565699496711993	4510.0
g16065	g255	0.1337270978992777	0.40113318422393973	928.0
g16066	g256	0.0981887837504923	0.43106787345883896	1107.0
g16067	g257	0.0715242333446157	0.27971965327742476	1904.0
g16068	g258	0.0406661656249792	0.4442568610784849	745.0
g16069	g259	0.1052211066214502	0.527037473682072	670.0
g16070	g260	0.2954282142803162	0.7140933611898155	1584.0
g16071	g261	0.034132053096727	0.22728757701007113	1503.0
g9659	g262	0.313902892256638	0.9702546534296206	476.0
g16072	g263	0.2087097898300428	0.6015999482047277	1904.0
g16075	g264	0.2905360745061518	0.6354733952904027	412.0
g16077	g267	0.1421034713694144	0.3556886699574242	1770.0
g5091	g277	0.0420320081646711	0.2326161962278796	3248.0
g5090	g278	0.172021575276604	0.48126265719776307	4804.0
g5087	g280	0.0373211321692978	0.35967981019641465	622.0
g5086	g281	0.1156862413307372	0.3573406270136459	1796.0
g5085	g282	0.1757439560270409	0.4109738780365855	2130.0
g5084	g283	0.0369305370773724	0.5371821715159459	506.0
g5083	g284	0.0603340239140544	0.49604886168402373	1670.0
g5082	g285	0.1545791185860811	0.445138004708328	712.0
g5081	g286	0.0334262396099073	0.4452323977611238	787.0
g5080	g287	0.0578400746331653	0.4810281832771692	764.0
g5079	g288	0.2202831424031447	0.5075190448751257	2029.0
g5078	g289	0.2021248150264428	0.6066698555634387	2706.0
g5077	g290	0.1042344382463418	0.36352515081402526	3205.0
g5076	g291	0.0603340239140544	0.5285310022207659	426.0
g5075	g293	0.2399572010025016	0.31240456380544357	1054.0
g5074	g296	0.0393963647100293	0.2719050475433478	1460.0
g5073	g297	0.0248264288707389	0.21680830956806674	1244.0
g5072	g298	0.0347065075291248	0.21005810479992115	1483.0
g5071	g299	0.0169064535708717	0.24710940084768174	966.0
g5070	g300	0.0608283334874223	0.6011817082868313	678.0
g5069	g301	0.0034325002705588	0.36577740475885245	433.0
g5068	g302	0.0271659475757387	0.24583239724024425	1520.0
g5067	g303	0.3404695935350812	0.6063435203032046	1027.0
g5066	g304	0.1056978512993426	0.3945540462318713	5590.0
g5065	g305	0.111468472224753	0.5804027938742898	1215.0
g5064	g306	0.0194275432116359	0.13168578013508395	1093.0
g5063	g307	0.0419226767865929	0.45938808461987723	712.0
g5062	g308	0.0482782100820422	0.3465455817988492	1035.0
g5061	g309	0.039892412358	0.32634870634247554	1931.0
g5060	g310	0.0141736501651721	0.20395028661273135	958.0
g5059	g311	0.0385317474885274	0.5509851836000236	667.0
