MALA	JG05	k0	k4	sites
Mal24_g16109	JG24_g94	0.0599883562755941	0.4535985080464918	1448
Mal24_g16110	JG24_g95	0.1238661157547435	0.6481586871219491	1235
Mal24_g16111	JG24_g96	0.1611998567870366	0.6255885734570954	2345
Mal24_g16112	JG24_g97	0.0273453548501834	0.2537443539529018	1441
Mal24_g16113	JG24_g98	0.2813801266085893	0.770480845995878	4210
Mal24_g16114	JG24_g99	0.1341445117991127	0.6887017289146955	1108
Mal24_g16115	JG24_g100	0.0261794660870045	0.32753823870920173	4482
Mal24_g16118	JG24_g104	0.2070644779383068	0.7132937508092113	1130
Mal24_g16119	JG24_g105	0.0866634638669022	0.4531227706375814	1687
Mal24_g16120	JG24_g106	0.0622925947489199	0.4884750529683338	1228
Mal24_g16121	JG24_g107	0.0694830145485665	0.4789607261547714	2030
Mal24_g16122	JG24_g108	0.0801648333241276	0.6010406196043403	4690
Mal24_g16123	JG24_g109	0.0378800070834958	0.5438240852749108	1182
Mal24_g16124	JG24_g110	0.0283052459871352	0.45275683329708977	943
Mal24_g16125	JG24_g111	0.3568362048942182	1.5987204711378045	619
Mal24_g14834	JG24_g112	0.0807793328162838	0.6527652275153473	8941
Mal24_g14833	JG24_g113	0.0182870299998558	0.24965633283027258	1411
Mal24_g14832	JG24_g114	0.0482728858838497	0.37660179713247366	3639
Mal24_g14831	JG24_g115	0.3330280371708028	1.1418199015833528	1128
Mal24_g14830	JG24_g116	0.0978915460753599	0.6829200428738776	480
Mal24_g14829	JG24_g118	0.039678673711419	0.4954095143884104	930
Mal24_g14828	JG24_g119	0.024561388822697	0.34123940713672174	2476
Mal24_g14826	JG24_g122	0.2344961909456206	0.8065743321668373	2720
Mal24_g14824	JG24_g123	0.1319792468364719	0.6331213745466417	1502
Mal24_g14823	JG24_g124	0.0797006819660631	0.62087116412779	13675
Mal24_g14822	JG24_g125	0.0157900568983742	0.4769915750399977	299
Mal24_g14821	JG24_g126	0.1130218626435885	0.5887160473598011	448
Mal24_g14820	JG24_g127	0.232717063688189	0.8028539277672342	4138
Mal24_g14819	JG24_g128	0.167910964875562	0.6734561949044688	707
Mal24_g14818	JG24_g129	0.0632848473926804	0.4331377486984972	1653
Mal24_g14816	JG24_g130	0.0385052474774829	0.38919436149824793	1658
Mal24_g14815	JG24_g131	0.0259445263798901	0.4105765270339138	816
Mal24_g14814	JG24_g132	0.0209201421918623	0.2245189515852124	1235
Mal24_g14813	JG24_g134	0.1223964680253207	0.5458145323030656	1782
Mal24_g14812	JG24_g135	0.5063252985846537	0.7662384356489861	654
Mal24_g14811	JG24_g136	0.0343369823291075	0.21603129000079732	1742
Mal24_g14810	JG24_g137	0.2944848179295132	0.7193255492295205	2506
Mal24_g14809	JG24_g138	0.0447894260262167	1.0195039133485215	381
Mal24_g14808	JG24_g139	0.1571505902391295	0.45642497504539825	1848
Mal24_g14807	JG24_g141	0.2091305807259649	0.740539990168414	2469
Mal24_g14806	JG24_g142	0.0726884228943163	0.2683484315125171	1521
