CREN	CINC	k0	k4	sites
Cre06.g291500	g142	0.3475651644882719	0.5934737035244053	2493.0
Cre06.g291450	g143	0.1350500733051491	0.5145943632455917	2716.0
Cre06.g291400	g144	0.0596085520589951	0.3800200398608102	835.0
Cre06.g291350	g145	0.0603915000546417	0.3907584253749941	3019.0
Cre06.g291300	g146	0.0322135403966993	0.4917069459306602	334.0
Cre06.g291250	g147	0.0621131799366309	0.2724717803558064	1277.0
Cre06.g291200	g148	0.032613833954804	0.3870052368809913	285.0
Cre06.g291150	g149	0.0731296031570115	0.3505053838696889	2394.0
Cre06.g291050	g150	0.162216074113944	0.55154979772151	4064.0
Cre06.g290950	g151	-0.0	0.0411061773712462	565.0
Cre06.g290900	g152	0.0248572875759325	0.2106767890998016	607.0
Cre06.g290850	g154	0.0287116399282626	0.3663987801050833	414.0
Cre06.g290800	g155	0.126309845060867	0.4383950087361837	3257.0
Cre06.g800713	g156	0.052106982187171	0.2655346451028482	1992.0
Cre16.g689087	g165	0.0268685448886086	0.1988503077607402	1055.0
Cre16.g689311	g166	0.0560380048613673	0.370750121883755	736.0
Cre16.g689423	g167	0.0624840763087714	0.275793585093988	1279.0
Cre16.g689535	g168	0.1333039230093878	0.405091494940816	4285.0
Cre16.g689647	g169	0.0546247409387297	0.3226993467770205	3129.0
Cre16.g689759	g172	0.1949291598099171	0.4737219770747215	1573.0
Cre16.g689871	g173	0.0426108568090608	0.1795036779256427	3180.0
Cre16.g689983	g174	0.0394828001140665	0.4408399986765892	276.0
Cre16.g690095	g175	0.1258009411965532	0.3536991750571793	12138.0
Cre16.g690319	g176	0.0117943817290981	0.1990493761219838	1438.0
Cre16.g690431	g177	0.0092593768667245	0.1305867130677235	1459.0
Cre16.g690655	g178	0.1215527442764863	0.4142925361404307	5666.0
Cre16.g690767	g179	0.0533879168958398	0.3205830111202047	1134.0
Cre16.g690879	g180	0.0222873542463577	0.2750629469456055	893.0
Cre16.g690991	g181	0.0739980928716617	0.3676798860495611	1040.0
