CSCH	JG05	k0	k4	sites
g14943	JG24_g65	0.0700328980458793	0.5204433625188805	2076
g14942	JG24_g66	0.0503685728853989	0.5650067560075257	1128
g14941	JG24_g67	0.061316342325602	0.43559522205836143	1666
g14940	JG24_g68	0.0373182299901482	0.42077191179942736	1341
g14939	JG24_g69	0.2675422474533473	0.764522187760477	1525
g14938	JG24_g70	0.1364788228134521	0.4109517250629164	2649
g14937	JG24_g71	0.0124484185567783	0.16973484455661658	865
g14936	JG24_g72	0.1268252394006271	0.3702635519028646	5082
g14933	JG24_g73	0.1242538265345784	0.6239386208314128	3972
g14932	JG24_g75	0.1260755366238575	0.7207223789443107	4149
g14929	JG24_g76	0.1169094324188799	0.5681287871570612	9929
g14928	JG24_g79	0.172643731705184	0.6874534907534138	2569
g14926	JG24_g80	0.1636382084661446	0.7219503982389411	2179
g14925	JG24_g81	0.2211867988957578	0.6425993396335079	13145
g14922	JG24_g82	0.2705274029276248	0.8572980384292077	1319
g14921	JG24_g83	0.1127417498029592	0.3740829639373623	1368
g14920	JG24_g84	0.1362293968488941	0.9349568271907425	909
g14919	JG24_g86	0.0268605251064793	0.4705468522478737	572
g14918	JG24_g87	0.0845589312198197	0.5293403366218239	1762
g14917	JG24_g88	0.2528629970240958	0.6692462484026819	1496
g14916	JG24_g89	0.1702572499643178	0.6495244391686095	3774
g14915	JG24_g90	0.2143066557254658	0.5994195929388005	1610
g14913	JG24_g91	0.0417905803136181	0.4182977993518453	4387
g14911	JG24_g92	0.0887599650510482	0.5008720294317417	2394
g14909	JG24_g94	0.0621948320966649	0.40073747763119205	1454
g14908	JG24_g95	0.1303581503445345	0.6096087632370257	1266
g14907	JG24_g96	0.1413403935720138	0.5534049122314364	2151
g14906	JG24_g97	0.0340593124054894	0.24991911039175724	1441
g14905	JG24_g98	0.2638436035608407	0.791131219209586	4144
g14904	JG24_g99	0.1622783355705898	0.5431259056630515	1118
g14903	JG24_g100	0.031696155100005	0.252217764224355	4198
g14899	JG24_g103	0.0792484819977053	0.6729618387853923	4698
g14898	JG24_g104	0.2001592086165133	0.8153384319317808	1614
g14897	JG24_g105	0.0849311573508702	0.399973859713537	1689
g14896	JG24_g106	0.0551719253827625	0.4465488749563118	996
g14895	JG24_g107	0.0670088252518874	0.4159069547422233	1930
g14894	JG24_g108	0.0871273422833155	0.5396465842156256	4567
g14893	JG24_g109	0.0424577066540736	0.3661780457940206	1174
g14892	JG24_g110	0.0322996087924789	0.5323398746729325	920
g14890	JG24_g111	0.3344673520971759	0.9483442561939193	1530
g14888	JG24_g112	0.0929225062170061	0.612518275238342	9077
g14887	JG24_g113	0.0161296539157227	0.25080539013183245	1411
g14886	JG24_g114	0.0461486856338924	0.3368142979380411	3630
g14885	JG24_g115	0.2796591201826038	0.8158069623234043	961
g14884	JG24_g116	0.1068470111443829	0.6017598543937029	360
g14883	JG24_g118	0.0398765009105086	0.35162604153056526	930
g14882	JG24_g119	0.0232236127494292	0.2825503875507625	2475
g14881	JG24_g122	0.2407278223242246	0.6887360485564045	2687
g14879	JG24_g123	0.1166386663016576	0.5477580227014093	1495
g14878	JG24_g124	0.0819262408240386	0.530876808933745	13514
g14877	JG24_g125	0.0309322189005368	0.4546018526777367	457
g14876	JG24_g126	0.0969087986100046	0.6227612265550728	449
g14875	JG24_g127	0.2135393304908428	0.825589651925797	4133
g14874	JG24_g128	0.1557717902015198	0.5796336616443404	705
g14872	JG24_g130	0.036592623127074	0.3964826003120885	1662
g14871	JG24_g131	0.0317408910238598	0.29091747246499267	817
g14870	JG24_g132	0.0223341565167085	0.21618468552072187	1229
g14869	JG24_g133	0.0929719969633171	0.5568262357256731	975
g14868	JG24_g134	0.0941578539833219	0.42191154923419216	1623
g14867	JG24_g135	0.4260723879143459	0.7668664448964817	806
g14866	JG24_g136	0.0281557989407107	0.18778814674176486	1738
g14865	JG24_g137	0.2705748605394378	0.6185296978203353	2768
g14864	JG24_g138	0.0532283336242928	0.775555325647904	381
g14863	JG24_g139	0.1617160096106902	0.523716435045273	1846
g14862	JG24_g141	0.2625609882199382	0.6925561497322643	2489
g14861	JG24_g142	0.086974171083413	0.2963800665537125	1469
g14860	JG24_g143	0.0505582205757268	0.22376840033654738	2358
g14859	JG24_g144	0.2104539189014787	0.6671403681071628	765
g14858	JG24_g145	0.0666432093850433	0.37383117342470185	1061
g14857	JG24_g146	0.1068389357633931	0.4728570551978773	1843
g14856	JG24_g148	0.2758327373178433	0.6863028566016942	4521
g14855	JG24_g149	0.0498356648640103	0.3556886699574242	1592
g14854	JG24_g150	0.0969665286642993	0.6444365951153525	2822
g14853	JG24_g151	0.3324352290692597	0.7479448458058666	2205
g14852	JG24_g152	0.053429284794361	0.2683276757251104	3295
g14851	JG24_g153	0.2058550185322017	0.40592861364425276	1514
g14850	JG24_g154	0.021793300859657	0.3578059803647158	654
g14849	JG24_g155	0.0865512578679877	0.35967981019641465	571
g14848	JG24_g156	0.2186345283561065	0.6466394077534482	11876
g14847	JG24_g158	0.3264433264036309	0.4969228178908988	1601
g14846	JG24_g159	0.3742074197485138	0.7291730608173708	3802
g14845	JG24_g160	0.1527647844687386	0.6305873845245074	367
g14844	JG24_g161	0.0508372124881786	0.3162942217349584	902
g14843	JG24_g162	0.0288728516267112	0.23973368736651582	1938
g14842	JG24_g163	0.0430998284011935	0.33471532697131473	604
g14841	JG24_g164	0.015799840804501	0.1677190222013928	4921
g14840	JG24_g165	0.1081561975994404	0.45599202916472875	642
g14839	JG24_g168	0.0938271301757513	0.4106851833180587	1108
g14838	JG24_g169	0.1021768710907448	0.42955098027340294	1006
g14837	JG24_g170	0.0902117370085956	0.3725391050683573	6029
g6602	JG24_g171	0.2278152196419062	1.0052884948618597	1362
g14835	JG24_g172	0.1578111293941739	0.5542285877369992	2888
g14834	JG24_g173	0.0858077633833081	0.5371821715159459	692
g14831	JG24_g176	0.4625491843403974	0.8045782931131669	3334
g14829	JG24_g179	0.1128446351716724	0.3963847525783716	8104
g14828	JG24_g180	0.2846172162786777	0.5660114767497695	1295
g14823	JG24_g182	0.1067269896230264	0.3887583421350136	1785
g14822	JG24_g185	0.2247144550076293	0.9241077609694743	322
g14821	JG24_g186	0.0073620223032423	0.37337882117938453	410
g14818	JG24_g190	0.0854964470295412	0.329379101728442	3389
g14817	JG24_g191	0.1787348712926493	0.40354742216226624	2479
g14816	JG24_g192	0.0456994132463681	0.21465126546101004	305
g14815	JG24_g193	0.1847790591348533	0.5657570561901487	787
g14814	JG24_g195	0.0984168420135334	0.3175160046442047	1267
g14813	JG24_g196	0.0428688103799614	0.40731486448815923	709
g14812	JG24_g197	0.067286474491523	0.3211838523299881	608
g14811	JG24_g198	0.0201458393134746	0.14415473701987241	1995
g14810	JG24_g199	0.0177917905802636	0.2326161962278796	683
g14809	JG24_g200	0.2804323227700077	0.7316641469331618	1378
g14808	JG24_g201	0.1670235133353314	0.3551904589694038	879
g14807	JG24_g202	0.1206609191670638	0.6281988474738677	1025
g14806	JG24_g203	-0.0	0.19521232369774982	351
g14805	JG24_g204	-0.0	0.04840389085317838	356
g14804	JG24_g205	0.0793191320171863	0.7961782627408205	286
g14803	JG24_g206	0.2039207130633101	0.5387803076292157	2467
g14798	JG24_g210	0.2365792173378336	0.7778921070312779	1148
g14796	JG24_g211	0.0472536222317466	0.2851540810116948	6191
g14795	JG24_g212	0.0297202325119402	0.28192972939996486	1149
g14794	JG24_g213	0.0366959360275748	0.48310470108993797	550
g14793	JG24_g214	0.0888988641889684	0.3162942217349584	247
g14791	JG24_g216	0.0953663816139349	0.502878527857639	721
g14790	JG24_g218	0.0089821432850367	-0.0	348
g14789	JG24_g219	0.0398487787481768	0.20968864666437118	1694
g14788	JG24_g220	0.0298661206400037	0.3389888428072928	669
g14787	JG24_g221	0.122793987861339	0.48406183330406644	1404
g14786	JG24_g222	0.0698714634495265	0.6547670637192297	2066
g14785	JG24_g223	0.1315418400137323	0.6263961286619699	1396
g14784	JG24_g224	0.034285364918632	0.3089848418470184	1442
g14783	JG24_g225	0.2020143474878416	0.6557917634820125	11696
g14782	JG24_g226	0.0412475068105865	0.4089202878624924	463
g13705	JG24_g227	0.2166018905612028	0.6317373975277495	1361
g14779	JG24_g228	0.2654604272354134	0.6379306515071352	4556
g14777	JG24_g231	0.0958601549103138	0.5932086928770539	4670
g14776	JG24_g232	0.087769310035856	0.6028595613355987	758
g14772	JG24_g233	0.0542404961847196	0.2667776989118254	1055
g14774	JG24_g234	0.0661220906960037	0.514325304946742	868
g14771	JG24_g236	0.0788553883926877	0.5554694018486749	3858
g14770	JG24_g237	0.1033372795014777	0.513358796717624	17456
g14769	JG24_g238	0.0360069143897704	0.3065220965172081	1574
g14768	JG24_g239	0.1371645034934935	0.4517048333134286	3754
g14767	JG24_g240	0.0287943232786757	0.18848582121067953	799
g14766	JG24_g241	0.0396918010907569	0.18459980215418134	601
g14763	JG24_g242	0.0488584897377121	0.23364996620547068	2737
g14762	JG24_g243	-0.0	0.3641308618362756	286
g14759	JG24_g245	0.2664676897449185	0.7118867324818415	2162
g14758	JG24_g246	0.1292398117357532	0.47169267784695657	1805
g14756	JG24_g247	0.0710590256920246	1.103465680464962	263
g14755	JG24_g248	0.0490170318833847	0.2562401965224078	1288
g14754	JG24_g249	0.1202569875563845	0.4911381716119987	1006
g14753	JG24_g251	0.0361952019396417	0.23104592609132474	1712
g14752	JG24_g253	0.1642635325094276	0.518832283819625	1170
g14751	JG24_g256	0.0488157475612731	0.18848582121067953	1459
