	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre08.g374100	1.3502729461037486	0.8061783347218444	1.2718633214653199	1.2791049679321975	0.7701508674962336	0.5943708341928271	0.40954247510001235	0.31993385292131926	0.43584170371700637	1.115002976506738	0.6745091196936379	0.5213216126265979	0.8658791616243948	0.5921786372595997
Cre06.g292350	1.8549150188101637	1.4537168420170572	1.168912005710476	1.2668992574406857	1.8562797595433846	1.7526056510293153	1.7355080001209797	1.38324638208141	1.7057954778826616	1.5447336877715754	1.4000944486663953	1.481491235907178	1.5445975645666643	1.6359562474478064
Cre03.g172300	2.8854931933044066	2.0729535231265706	2.540256626344825	2.626108124321355	2.5697314171971506	2.735213509965619	2.517660566082819	2.1390639520591495	2.22699597266813	2.267632921723039	2.1861876303263057	2.55928490154017	2.445505459669807	2.2132214270949433
Cre03.g172350	1.0213600017046687	0.4132365854469593	0.5577992561291857	1.1399908287430311	0.25520551614552694	0.6888150038628096	0.07834297103296081	-0.00883378959050747	0.6649764256307243	-0.004489898128208163	0.7445918987081706	0.6488734833516953	0.6387359514827681	-0.39208805647768297
Cre03.g172500	1.8377903609965196	0.8451539429865162	1.4775993851760547	1.9720933666405636	1.9424764116786755	1.894893149404779	2.021927269945735	1.6239775861124923	1.540992879098889	1.7719405621663937	1.7661915085169861	1.7389873838461989	1.9397043618314342	1.7654103120948095
Cre03.g172850	1.6877536717192092	1.3598281226671969	1.4201437222739106	1.7601245839962003	1.0365895946225936	0.7860035099681197	1.11039845349873	0.9411867106405869	0.8489249618691901	0.9186921662024493	0.9906568427106719	0.6334724472019537	1.0410955969312097	0.7892053837519122
Cre03.g172950	2.2356262906636677	1.9142364407406753	1.5182870642367094	1.978735175051845	1.3495203244259761	1.2660370720395588	1.4964046852482473	1.3057951048058416	1.2379521533496725	1.109572104489796	1.240976850077136	1.3393735785000502	1.32496076124764	1.4507331405976782
Cre03.g173350	2.2340052344364603	1.6762689384888536	1.9621277144350873	2.333302334159564	1.4782807116891568	1.4002477075561253	1.609939984551505	1.4124288313727063	1.6069888996710615	1.7580738511173533	1.526137956205887	1.6317604393803256	1.4512703406461522	1.6247216723551239
Cre03.g173550	1.7470237619566518	0.5953224365283558	1.0275862943010379	1.4125686370795143	1.8117020677628015	1.6493390588563757	1.7032876233488743	1.4480400247025862	1.6404770865541887	1.9225688016329265	1.5150559882308952	1.365158723852563	1.722870291099446	1.443914744326554
Cre03.g173900	2.0125235985587793	1.6909773688734966	1.8511990553810267	1.98990980565328	1.4985898656453829	1.5621656558916142	1.7174862767853067	1.3977485339297728	1.6637031857562494	1.4518137662804447	1.619959063399341	1.462175656059722	1.5746467631719532	1.4254573182172983
Cre03.g174350	2.476278459686052	1.188565404398121	1.5619257176544843	2.2535882786991803	1.7421925357203565	0.8501962161863198	1.3767514468155009	0.91873068996075	1.3504099155987213	1.377288411414615	1.0606679338647456	0.8240216205910114	1.3674101969058876	1.0295736057244964
Cre03.g174476	2.2350428076688735	0.8490119916990485	0.6151455111109664	0.6224020477918136	0.8229142786435439	0.6268468760991404	1.2814617514685847	0.8274124897570869	0.986556536302934	1.0568695658957794	0.522449214336471	1.1230023138367211	0.8041970333636372	0.5916841261474101
Cre03.g174750	1.2246803531934758	0.4399909710883696	0.9129768034794439	1.3061300601864445	0.4027863906791335	0.7317415277384951	0.1567407421450409	0.1984191400412083	0.24748043860128374	1.2475841890861683	0.827015730540325	1.1428123903649912	0.8986926003771092	0.40109735107853023
