	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre03.g204250	3.522400490320758	3.006808977983953	2.906303090000172	3.5445072837219813	2.202531305460354	2.411932154395428	2.075970267972441	2.460897780530299	2.217159592706077	2.508841459347244	2.057121906985361	2.08574488182019	2.183191327804433	2.2670261586598373	2.248930770539575	2.404020836416841	2.0943715864241046	2.467338733939863	2.454605266139901	2.2552469991934294	2.879081015270794	2.078931952193466	2.915219038636405	2.313664443361436	2.232340329871372	2.2606563311289154	2.5552078367248185	2.510341243694525
Cre03.g203850	2.888560329436724	1.4939846711463511	2.343282843373769	2.717131283114333	2.651569152523394	2.5516286411334343	2.522174462735772	2.520925122695826	2.676307011093213	2.0174515920290728	2.3892336647294483	2.7593628810645807	2.683056430690382	3.182108882521762	2.6783849258530577	3.165837524848245	3.15519967168251	2.863302598229032	2.6093732637415004	2.743843702094645	3.034797944238763	3.2526033757930586	2.413426015018725	3.296359573674314	3.190797776635068	2.990665372653914	3.29594895608977	3.0320845522553013
Cre03.g203600	1.9480957867150777	0.894191721377313	0.9750523475636738	1.6569861363408382	0.9210433724518504	0.5752816719121241	1.2615866215351648	0.6712758301142528	0.9282443530744622	0.7444396042826522	0.4736456460338789	0.9382177364289856	0.8639819791578128	1.0276922507697526	0.7385488236157348	1.1476381067267425	0.6472690406365971	0.8404830132286615	0.9557809304966468	1.3134532327354682	1.149888562048336	0.7848730350127728	0.7959814741831578	1.217229269984368	0.8142695263484154	0.4411511103133717	1.0187223066280364	0.2277177064467725
Cre03.g203550	1.6923338238418986	1.324642675321565	1.019116272320152	0.9908227190719568	0.5858208234398421	0.8824984072174582	0.8391103069894984	1.0285082930803715	1.1926861556666095	0.3701819571571583	0.9953112886277324	0.9416717211637576	0.7864311019058238	0.9970405044612304	0.6778076580004393	1.002283233485591	0.8490332286552806	0.7433391865522709	1.2481433318559028	0.839732386038321	1.2013788159535967	0.6417408480097855	0.7643538241646478	1.0299693660648557	0.8190199690039925	1.0549371697294463	1.2672862355696362	0.7889513756909476
Cre03.g202550	1.7084659517336362	0.7722153998717751	0.8604789130840687	1.0927270436542762	1.3034984425702745	1.199013623616815	1.0860575424795906	1.2262574039005083	1.2815737569030734	1.2266220868287787	1.292603510218973	1.350056965556245	1.2103891703511416	1.2522170371421062	1.0167248070877763	1.2970141811727218	1.3223337001819475	1.4061409720592764	1.5994004966070656	1.453806709365455	1.4865115436587906	1.203069342579437	1.1924183371092036	1.2982844814955934	1.34833799232713	1.3342463538290126	1.3158761177082612	0.9280429294863252
Cre03.g202500	2.1573595183118	1.5495860987587045	1.4489340506539383	1.939893290599116	1.5643970579658677	1.5050075722683005	1.3378458693073578	1.412708090985463	1.4852594659059688	1.518995687940613	1.2537611543014446	1.6242719736879394	1.234363121551516	1.3588307741448749	1.1253391797814265	1.2073904198632277	0.7888183152581736	1.6096769349559854	1.7351623644389886	1.700484720261836	1.4732877827363948	1.333977390420892	1.169546458016659	1.325822059941259	1.4566674903290349	1.0455440400986118	1.2313074877441768	1.0728848069456318
Cre03.g202400	1.5419777262346928	1.3992499026027414	1.4304306204902857	1.6409206289185274	0.8062929737952165	1.1201296680989374	0.8714262365697882	1.196242639822095	1.2335897941217877	0.8049284245486663	1.242837975146194	1.2364151552468077	1.372783606211908	1.309457119276939	1.343277378721961	1.293239237460745	1.3003861724553232	1.332931752411282	0.9776417207425658	1.0882897387667925	1.1930765098078018	1.1183854130615034	1.1493706827074026	1.5087560515298026	1.3757855915325954	1.3594935994296542	1.4519633061187154	1.4332471970438008
Cre03.g201950	2.310605711073285	1.424405950581685	0.3393800712083146	1.123382327347655	2.013705707514791	1.9282759000964529	2.096658958401298	1.701796724421581	2.0468049747435764	2.635675857335833	1.5941440775994722	2.4625426204381493	1.8385320285112283	1.985581545534525	1.0569215478193064	2.5800392503766263	2.7156393738237656	2.167641994921216	1.7575888709965597	1.5372537489080969	2.7381365449820474	2.124043253541529	2.7171700186114074	0.7100677041755666	1.844967006495989	1.3840733525916504	1.658479486383905	1.8213737818195093
Cre03.g201900	1.5287745744862555	1.190493214803715	1.2352547947471826	1.7066368597341754	2.3045847846043657	2.1035791740952208	2.4047672383361	1.9914139857198287	2.024490652897	2.4941248259108657	1.496697286381261	2.3375351321959603	2.0432651326010376	2.451246539872292	1.6108809961209678	2.54513416299951	2.665239522917879	2.3499112729043903	1.8094377842605311	1.7843920943963552	2.194403262562378	2.295079069767984	2.173017327008496	1.4948145467579983	2.0309932530574795	1.99821538452879	1.9027407967269443	1.9434984988532769
Cre03.g201750	1.5513131866718477	1.392999745957798	1.4692197558350806	1.9345800239485664	0.4531789428487141	0.919050170481794	0.5545509929826796	0.9790654261517808	0.6098892129555448	0.2897604960648515	0.9158333872987686	0.7024711539920845	0.6944867497685082	0.9499744510363596	0.713505608025801	0.6122518409022357	1.123388912858993	0.781689643070037	0.8830358823182668	0.7405838859409162	0.6245086334691181	1.029151164387632	0.7214939526254742	1.044606085400337	0.90570600825537	1.3629741992892237	1.308886044873702	1.196481094547191
