	CSCH_1	JG05_1	MALA_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24	within_species_mean	within_species_var	between_species_mean	between_species_var	pval	sigma2	beta	within_variance	shared_beta	selection	cloud
Cre03.g213425	21.18807947423536	22.14254047864741	47.59869449727839	14.695478715728983	2.7406971950153856	3.176397204257525	2.9325174394498483	4.931471694707434	2.928307192943811	1.4869680889055734	7.445314734911681	5.142909440073858	6.278855197084231	4.455985192441245	5.100371784078493	2.417000584768891	2.3757099872970264	4.2764917047151885	4.199956152230455	5.054459104702364	2.7888930137769212	1.7214758438384834	5.07095161424614	4.779423038092444	1.739239571802764	4.60040444718224	5.567789906633489	3.336762105374568	3.9395146766054197	2.3735006363620013	21.912861568499107	258.8679721177248	0.000866267038283	4.61183739896074	0.494870402751586	2.2822618310485283	24.8057395401286	directional	normal
Cre03.g213537	543.422968107703	841.8858167932799	525.7784765227682	241.5481726620222	144.11483121640808	196.58470994756922	125.0405195496149	250.4780137149636	181.52242721751418	139.7187505233889	175.05035978726224	235.97460165311088	184.04411198085805	170.3560524266355	156.6459562612026	121.57660614664381	173.53487687299693	213.28165218233764	175.5946761008984	253.1733325135101	151.77234700301725	134.38477602432474	153.26039120888896	97.97301842116246	146.93912815915687	194.00665077333989	170.32816134450243	238.49976508801103	174.32732150488832	1707.7379293200638	465.39255111813236	71576.91467937262	0.0253232581221281	40.1828226690517	0.534396912279334	21.473576361009254	24.8057395401286	directional	normal
Cre03.g198850	35.4435638806556	40.7379221386024	114.08930327316658	76.5974521187755	6.417731997739351	18.982779140893474	7.836534743661289	31.17909318025006	10.850015454481616	1.0073552264610448	12.357413706936745	5.56780775038009	10.565665161780322	4.890835229905672	25.01866417186128	5.5258819293345445	3.4776378911880994	11.423142471805832	11.821631928221317	20.094454320206115	6.813145447617262	12.528589212531914	7.326182547084596	19.872068898427102	19.176721095284936	19.65663372941238	24.656620640879876	16.634722824045955	13.070055362516285	61.1558191821314	55.98765935474328	1574.2749150607524	0.2241940172424	51.287068449442	1.86909452801122	95.86037899658893	24.8057395401286	stabilizing	normal
Cre03.g198950	15.968820177473935	5.428028197885164	71.36319291631847	46.49609884131373	9.737647912141972	10.892386712911545	4.643640368504748	14.275800661777268	15.228412700971083	4.8663358890487105	10.218257258667519	11.706439049100275	4.080326808443291	7.519381180095782	26.230585692838	10.756003965357285	13.200568554810275	10.18358982140081	6.646101616996185	18.74058829471149	3.998238286505598	13.17450520265168	4.336665563473599	22.09313627619203	25.25515134180107	19.283707309067545	19.594231894290903	22.009403729031664	12.861296087116264	47.42267066983346	30.423487244021516	769.1323188138028	0.546553660349962	4.79964810675977	10829297.6181368	51976817.81042839	24.8057395401286	stabilizing	abnormal
Cre03.g199000	37.29489791697746	60.37328659548311	36.6089335834916	52.0221808535888	21.300777731317098	15.881643848627027	16.472059464189446	15.768617117920384	14.196109391835627	17.130167298962487	11.129004787030988	15.786220758421857	15.908892631976153	26.662070011284772	10.28614514565718	23.249100990823283	23.00345254872913	16.829436745594233	22.16694455039861	18.381621107417487	29.652618816445955	23.403825194001005	14.689977979082018	16.920232481110713	20.627410465512934	15.120181535486049	17.772041398209776	15.978933485747712	18.263228561907578	21.52981804384461	40.912505502289704	261.6861122480396	0.667734751111438	0.0036114722825626	8828777.6739648	31884.885858431382	24.8057395401286	stabilizing	abnormal
Cre03.g199150	17.600355939887987	1.146556102572886	27.12855826301792	15.31650720235347	0.5818040233122743	3.8930179693851543	2.7123280517291075	4.994116612546322	4.768640052674166	0.9795939467132384	1.441700378924881	0.9179567738595632	0.8764180502479711	1.17396923296659	1.1675271625615136	0.9527224521859967	2.637889804151174	2.07598887530507	2.4704275957745825	7.647811339107914	1.7488484860130133	1.1597682245054994	0.8843789305801576	3.6792092275334913	0.8237890553095323	2.694766852034291	4.78570738394092	2.5982304495364086	2.4027754554541176	3.149849447928267	12.718950592657276	119.63899885346234	0.0244538956811026	137.12644843425	0.362033114794571	49.64431524736865	24.8057395401286	directional	normal
Cre03.g199300	14.823313951827116	11.101955578124487	12.367533555613743	20.02492125979725	1.1572135340321237	5.8160553440198015	2.8745137847618647	6.5933577232400795	6.31843821641482	3.317880431690964	1.8022530285327631	2.858127308995574	2.604021390769001	3.198848700961765	0.8838858395743969	1.783128724765796	1.1204249139915519	3.1435319863169764	1.7157554534231731	3.7288174173003434	1.395321371222195	0.8802603481341866	2.1251032984638876	2.9964716508944753	0.9471344950626741	0.8154334499040462	1.772443978831333	1.5584119649314436	2.5586180981764683	2.8017605198975635	12.175268488707813	40.57453114877566	0.0338860788258479	31.8880905583111	0.879105137869891	28.032984246671646	24.8057395401286	directional	normal
Cre03.g199450	11.779955637092824	5.893260318475311	15.001000328069606	12.83881299124758	22.327444220212072	25.402693068911244	32.64966984283898	29.439113027624625	40.49213594283197	15.861229711787752	8.945253913134357	21.336561328064814	11.7883664369257	27.62761824335318	12.750471586395314	20.18879245527123	56.989243998639296	30.442847873149503	11.21326787768428	4.231671032666569	5.027850623018531	10.879780044537677	4.167554927143699	3.348534080541707	8.075735450274342	21.633695747327724	9.172648816964282	11.02239822506611	18.542274103098546	171.87143083729387	12.811060675596774	21.640638151372876	0.755943323055193	0.170495218032341	3508382.90805017	598162.5088489524	24.8057395401286	stabilizing	abnormal
Cre03.g199500	16.153198633491836	17.460962652410675	20.25861102806959	23.80485519687292	14.07547543904105	11.28548419639094	19.140111108325762	17.822050888666343	17.799075948365722	3.9555621128826277	1.8776586788308876	13.529379326814611	5.842745489064616	17.818898275518606	7.734511480728801	15.707592134142109	49.791327904399225	18.269317396659986	2.555224354621419	1.747704086487045	6.773360257405326	20.15295704665061	4.6723750565949045	3.4744613800821096	10.32202371607014	15.809990839628947	3.8514437362649545	8.908480039136004	12.204883787198867	103.07829644646517	17.97650225960878	19.019878845766446	0.384726361438564	9.65806849970299e-07	525046877.370291	507.0938707197426	24.8057395401286	stabilizing	abnormal
Cre03.g199600	4.266417607375719	12.213653576596029	4.957745896242223	3.929092801051854	3.6273724589881238	3.890857176400058	3.345901392865754	4.774516188151502	4.0379177584304555	4.253702706749277	3.6026523876019154	4.024666338830415	2.9220711463881752	3.6700264414742723	2.569034115103389	2.51240259829307	1.4843497165825401	4.164401832590268	7.726571195220717	5.620884654528947	6.871212177200885	5.221022053770064	8.095829765643845	6.4522996528272	4.465764394544199	11.244267880993506	6.44000235989773	3.9089118361875723	4.788609926219328	4.6113566784464455	6.031103961497031	12.113094388541757	0.497313637960252	2.44186987449144e-05	40954978.3433778	1000.0672782714358	24.8057395401286	stabilizing	abnormal
Cre03.g199800	158.90920222521146	346.13731665588074	268.4772536531394	81.98917123161418	323.8821974138112	207.19795135427435	192.73825352956456	176.42992663914242	135.10701999628114	245.5532592454067	14.582798112260681	203.87593987133144	88.2925251405868	168.06131012984235	31.6121386654182	128.85297084551266	76.55009934452256	282.1074032330213	1145.2212308206588	918.8155053058302	304.0618327162802	341.8111291721816	179.46278934217744	137.45953410588962	135.05091196142112	299.34507996396167	264.52367069733083	58.7606904975158	252.47317367100925	67091.8556737859	221.59722348737105	10520.373149729512	0.418961682154781	4.41434055357061e-06	165592052.625066	730.9797132518274	24.8057395401286	stabilizing	abnormal
Cre03.g200000	8.548809016093303	28.10924130864549	22.74221088868343	15.20121702697858	15.863788214843893	16.81435550462899	13.66932670883209	17.547270356864967	85.3025363255551	11.420453250786109	45.007638768702606	70.07167188481033	19.473993482726645	11.806063127027246	5.296271684625385	12.77497881350732	5.093203368594657	11.459115734807199	14.07234023875426	7.487181659952101	11.80825113334135	10.711297093330385	19.103046558816093	6.330081378193943	9.789298391480012	12.019187479631071	12.79615859732976	12.088835626498733	19.07526439098501	389.9819705757694	18.735348526277164	55.074006832139084	0.431805276312748	1.14902703505698e-06	1271766314.23154	1461.29387732681	24.8057395401286	stabilizing	abnormal
Cre03.g200050	135.84958402009295	100.54543708272908	115.83891962771004	44.09848324414241	100.05176873925797	118.63428695999448	100.78621805653684	121.57148400033272	238.6565937179539	114.93630083625987	210.0571503668937	201.58646446118112	228.39905505899193	106.83685871822706	130.32663213400653	111.43908358734176	56.68721482732528	77.91121555985585	160.89610356893934	149.07093476076125	165.01555155078555	160.99469278078416	210.01852775483277	79.52835668342688	161.17558406455026	190.68905101077837	140.37465989163096	199.6827886146182	147.30527407105276	2567.629103686977	108.72753960914545	1629.5700858487019	0.0026518511673227	26.6944522874163	0.455748771806326	12.165963844032548	24.8057395401286	directional	normal
