index	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre06.g310750	2.0168543838842266	1.487493870314997	1.9167020001727997	2.05492765603724	1.35846545676981	1.7067233899597538	1.5047564438552723	1.8267621050004512	1.9414829995427343	1.83451910027338	1.8892711722269289	1.6461515440394654	1.7737165894004967	1.9968259634955037	1.5535036434410665	1.8885472397853316	1.863550419366519	1.83276537278022	1.7033627637365405	1.627916343822158	2.132482416773518	1.8921945997648384	2.08661452618958	1.8168708698161369	1.7791834068396124	1.6956096546738366	1.8801369769345868	1.6851537793365925
Cre06.g310450	1.8907613831853955	1.395517036084822	1.348844887876483	1.8750377851908109	1.588792631387218	1.533807038562525	1.417544306185985	1.5871316270611937	1.855533310823256	1.6319983967076497	1.53170431779327	1.6967162863873535	1.5864637416850542	1.85455552493768	1.333567190465721	1.8219455576462773	1.8532942038151887	1.7407144345636774	2.026024846886648	1.5859108606789467	1.8579524650518808	1.6494716737769255	2.0302588885640938	1.7296630876244814	1.6728826009014632	1.5517790406652034	1.8585102151931971	1.4609714827340397
Cre06.g310200	2.664959553933251	1.7565474533467225	2.3167377842917545	1.927278000229377	2.614521004418563	2.3031892908085787	2.4387325312803583	2.3922897568113792	2.613772819199167	2.254207375738819	2.46020697495324	2.664287360903623	1.6884467547707993	1.8949257575535357	1.6925411206438017	1.7059932261085005	2.251741230274278	2.368434676506145	2.7739618781113915	2.5390077315502464	1.6790733073874988	1.973227165624018	2.0464449967380687	1.9468260515996276	1.9890627100844511	2.1664905069805958	2.081217059937212	1.969450064383651
Cre06.g310100	2.099014657991776	1.529259479844545	1.4290173429162252	1.869867790191792	1.896397310483853	1.7937697344452042	1.625519206039042	1.7784455174552225	2.3435345796392197	1.5792428731834889	1.8937294835092413	2.1156659340923105	1.861168702058168	2.058794436281393	1.5911224290688528	2.127020171292975	2.030668014970391	2.063915782548503	1.8703565503876172	1.8371792054282712	2.15320197353275	2.0065795545469403	2.216606437975185	1.709910037902942	1.857847158436732	1.8530932222799843	1.8082103547504635	1.7981748871014012
Cre06.g309900	0.9666618582027564	1.0213072759560953	1.0125089250612545	1.2271513175423567	1.3137403371211516	1.344987607449557	1.1896802447960746	1.2993792294978148	1.3866178734163273	1.1762742927395824	0.6620750247356322	1.251482152062767	1.0209796882648616	1.379343611408821	0.5370477574256453	1.490039088816065	1.7790072351461652	1.503141259340418	1.056307054621931	0.684059807241369	1.5845771858583595	1.4424877834557768	1.4228353571538734	0.6526418719477624	1.207551264934221	1.010153696896669	0.6877575969751583	0.9631398397928074
Cre06.g309650	0.0535678998740242	-0.4700971845633088	-0.4630632727628969	0.4938021218836564	-0.5313539210988891	-0.2035772389578775	-0.2773841324914305	-0.2663453410763924	0.2422815034116042	-0.2386599597524827	0.2236626562943587	-0.3959834113528874	-0.5171658171920366	0.1389946570864919	-0.4793988710222022	0.1182154134854727	0.2142694995512433	-0.1787497143562822	0.1527727474994608	0.558511276006209	0.2461699658591125	0.0711821224976796	-0.2618009348723779	-0.2152613108652819	-0.1816361424603859	-0.7889630727722935	0.325790903925298	-0.4939482632937585
Cre06.g309150	1.0649383353620148	1.06254033278211	0.8761981913101065	1.0346525287859245	0.2929122547095132	0.6831424954727899	0.5237886853998569	0.7474117853204483	0.8267618009548766	0.6633130545835202	0.8067279296146297	0.8289527517712734	0.921224681241546	1.0650280138223474	0.6498864794663542	0.9341382312852315	0.8229641837225651	0.9029431213668648	0.7896498571308053	0.6266053548298678	0.919823956384582	0.7015801501342911	0.9829370988637672	0.9622745562141448	0.8670356144907813	0.8631442835702929	0.6822440591646461	0.9437915409435034
Cre06.g309000	2.4525545606897445	1.704789324339555	1.8707689999605288	1.8765462969049385	0.3841043024417253	1.907841357064537	1.896138074530876	2.042264844624456	2.076461892942993	0.8045570994222138	2.8181914741696814	1.8304559336618584	2.417684330535088	2.9304376961999026	2.9619776541324763	2.500397541913113	2.619283930371	2.4004222809452047	1.4137480774333435	1.1506671279029026	2.207864047379074	2.452502204056066	2.598645663596608	3.34534503439392	2.853532558137604	2.281529336526799	3.266978944241391	2.14714340429064
Cre06.g308950	2.543308861485157	1.4516249695522387	1.9158413345928047	1.920268979358127	1.6406089926110712	1.7770498454805517	1.682955133090519	1.8656660535026264	1.6226334066310917	1.581011865108587	1.9867880108610068	1.949640412087989	2.025882083614827	2.19695597055381	1.9556652025659456	1.927116349234516	1.8930268333296825	2.106574589669873	2.1320093706854504	2.0810566882368917	2.2055258161323814	1.830640878233655	2.213840890226509	2.3192028647488825	1.7696451657954024	1.796927850509465	2.0747338288796877	1.8805527336172976
Cre06.g308900	1.1335436320421657	0.6893125026447768	1.0258088331859097	1.3160197696772156	0.3796632890950095	0.6572762049688101	0.5908764655624581	0.8843179124978273	0.728819096311538	-0.0809092578565111	0.7913969069675769	0.6604426295854279	0.4441598987875412	0.6795618716998206	0.5747933404883772	0.5492789612416142	0.9137122439208302	0.8215130661669029	0.8532368226383347	1.073521148573568	0.9368981718751004	1.2902410085022902	0.6205787484435191	1.077277504085627	0.2732750038549343	0.8769281282362934	1.1750663858674564	0.5864358537286918
