index	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14	CREN_15	CREN_16	CREN_17	CREN_18	CREN_19	CREN_20	CREN_21	CREN_22	CREN_23	CREN_24
Cre02.g089150	0.6031658305854156	0.7618445214777888	0.7628620503581407	0.7539515251300464	0.7413931345431652	0.7006905423789471	0.9393554323557785	1.0789306325204668	1.0183462422003686	1.002958649820088	1.0078736157164645	0.9635453224160584	1.2308956571063892	0.7607596961457352	1.163339804871222	0.9973452913917953	1.0402147062218126	0.8790515029133645	0.6468071370003895	1.314436657843277	1.0385368393656977	1.2868300114865747	1.0656177043589823	0.8248918531230647	0.9168381103954546	1.0362084972983738	0.9271046000066464
Cre02.g089311	0.49379604121025344	0.8511038100605886	1.4647690253705419	0.5081174474636229	1.5445426236844786	0.5272783528557142	0.8833812454950083	0.7588596139167731	0.4481356106151348	0.8062921591928142	0.3128262873148254	-0.057802806874203166	1.1283394085379304	0.36056666352579614	0.1685619730844132	1.2168394251675223	1.2032587289628665	0.9524752432006652	1.11248317181074	0.3521341377219557	0.5043302689833179	0.20708583391803534	1.050863113868292	-0.09970074828429638	0.5582983572048794	0.9953000535123738	0.23762399545985316
Cre02.g089850	1.3443029201427268	0.6968110938045314	0.9387694926859073	0.49565756321728816	0.7296205989225838	0.3895811019490026	0.85362148925654	1.0543857652824753	0.6731767907724069	0.8656837988857067	0.7653080280124539	0.6248028660749215	0.6142980338733555	0.6280344167282539	0.4574047613496126	0.6699886342488006	0.6565123301201401	0.6509150353747507	0.6426349569946784	0.7764684025660761	0.2983294218981494	0.5626293205095538	0.5314232223523517	0.644713569510581	0.2029124731620093	0.9387112934425589	0.569147876323393
Cre02.g089900	1.6050215414531268	2.0288487527745205	1.9789728562198543	1.9058186289248953	2.0339540545402714	1.798593181367174	2.0530185060165396	2.458540575566123	2.2735622711982955	2.308246855175086	2.2305845944624774	1.8637499394861399	2.0209463774252567	1.8595313902610917	2.2216785187836137	1.88844635277014	2.167558576542821	2.1461177826780187	1.885744488197969	2.23178623889235	2.067777960624087	2.31372202241905	1.8619606942537057	1.9105286399213934	1.8184294918589377	1.997799891270641	1.8776418982067984
Cre02.g090100	0.7451364946399701	0.8374424232512048	0.6882745454429099	0.18217010835399317	0.5239349954138937	1.1734716881737763	0.6920685619096751	0.6717570292189827	0.17030665206372303	0.5874233211284022	0.1867799128687113	0.7640048069652436	1.0019164319285712	-0.13128283742776023	-0.025462636032387548	1.4578664641409054	0.7503063391472621	0.4034089387555807	0.14182148556833293	1.0286066746528049	1.403929846820723	0.7809795907207759	0.6705854762250574	0.9834154617503308	0.33874722342371805	0.6129072194666912	-0.06576459349189119
Cre02.g090150	0.904641050657954	1.1573693930887932	1.542159909069765	0.35034079270657	0.36972289475250647	0.6321372508005694	0.9797164702504355	0.9114984900685947	0.14621763557164685	0.8079220908576905	0.288072909569856	0.6404673016583438	0.36863222352346603	-0.012285131514528825	0.06153314464137144	0.5214590142560276	0.557078840281858	0.8846128860505277	0.3601157170074093	0.8283173715621361	0.8887515183025483	0.8545700241299137	0.7780505495854443	0.6025635375878927	0.6255832696464965	0.9083939143134878	0.45859381952231715
Cre02.g090850	1.1852951996948502	1.2897997833028352	1.7899046969371595	1.1172541146408586	0.9268291227285423	0.6022654869086458	1.0331304468123998	1.1882686664638338	0.780700318332641	1.050823753449168	1.2316214863000645	0.9377499307331748	0.8670759075931325	0.695122989339026	0.9688292666332637	0.8651633604792659	1.1195097537164382	1.825332934343977	0.7177573368162844	1.0139030201702655	0.8797286643046957	0.7532339673934203	1.115109624505154	0.6089257779500565	0.8299847228422006	1.377070329284185	0.9168403313588324
Cre02.g091050	1.1274282253540584	1.994379860692824	2.7175715152119686	1.882830172442273	1.5457558522667787	1.5637255538095984	1.7628207663122015	2.0419067081378337	1.2960991021502903	1.9189750138093864	2.2120931703351174	1.4690270644001606	1.704308327581928	1.692038955409633	1.501657921099465	1.746546858939963	1.5938100209783292	1.9205058945046056	2.0725979824355667	1.1464261388666666	1.4287349212320712	1.3119405895752903	2.2268382309760746	1.801136566539889	2.06459716183835	1.886096951591507	1.8500972708437202
Cre02.g091100	3.7601088227787973	3.3151732430000425	3.550190799692406	3.1333894842220738	3.197439861392189	3.0399524189495377	3.2470073220990074	3.383759032405938	3.2212127337580916	3.351841028490661	3.369168610852831	3.307996731376508	3.2429746990152357	3.1016094221196053	3.2796845061095796	3.445380250800862	3.3571173596984614	3.2947695949771054	3.2249570513717587	3.378085146896272	3.3683550293786517	3.2736592685590504	3.2808993545478757	3.300668036675682	3.215083549676808	3.3757120048576104	3.431157850029773
Cre02.g091150	0.5155709883937557	1.2137149370516855	1.2660494777401925	1.7089960168715486	1.8047130129439681	1.670931985525443	1.8664308877110463	1.938522542752742	1.8525538118585938	1.8994663775306924	1.9238835310424494	2.0334536248818145	1.928822056082728	1.814332939526353	2.057605681914788	2.1242760197109987	2.063409686073019	1.858414170386902	1.7556063132328872	2.0922188272435154	2.0797457159940427	2.035155539496417	1.9670030972183132	2.0251012819516916	1.9143890859007326	2.097906624442364	2.072273649642342
Cre02.g091200	1.4595938707021308	0.9025395146790083	1.486946230143433	1.1762611321864842	1.3357830220907316	1.253902062126172	1.443985248322809	1.558457950976897	1.2207093490443115	1.677099859123209	1.461265973289746	1.4577022780544138	1.3968616893358496	1.3998087628645428	1.9142067307778183	1.5448791014518104	1.5676936419400471	1.3739215600490007	1.4958533124258742	1.6526100755093778	1.371219761604047	1.926695403817283	1.7679897841420746	1.6986920440628783	1.3565400768601705	1.3644010813392808	1.3773159683495197
Cre02.g091700	1.8389521230908554	1.7554414871276731	2.1511481005870148	2.607237516740939	2.3902873251462746	2.5103932201096244	2.4669908881488327	2.424722066917781	2.3494511979007062	1.5800447500093922	2.465944760690246	2.243912077123717	2.722232438412328	2.0035919057176823	2.6365652926493612	3.0195082279587715	2.5349496459822705	2.0281565067316643	2.026793745428385	2.333377785705639	2.6764027593457866	2.279848347215524	1.9182560182141408	2.4576880722572465	2.488630550184665	2.0659820196035614	2.2612904265734666
Cre02.g091850	2.0457936415216937	1.568345551343662	1.5560513399361577	1.2378720505655079	1.2144645513079713	1.1604823020272164	1.3509700411108763	1.3690136864364215	1.1337944010919434	1.402236095581676	1.3289728049029916	1.4905832987220629	1.4544821228017724	1.2035031023062914	1.3191688849240653	1.2708962796969914	1.4774726706140167	1.344745898400527	1.265431014176186	1.557287879905618	1.3396522278766319	1.8065009567544132	1.2707237938149547	1.4810367821218124	1.4301097229727198	1.2884751267205377	1.3360192771834187
Cre02.g091900	1.0607850110302373	0.871936595071038	1.0124715481323172	1.5105788393813033	1.3362190067747957	1.6386912501348843	1.4913056559111695	1.3433144279891507	1.239683294317752	0.7054528103329585	1.4170723374051741	1.313145807171421	1.7282366753942215	0.7928933876791093	1.669390840497077	1.972204408688475	1.3704182495345862	0.9648892245445464	0.7731732822014421	1.5734255919991478	1.7635802870487078	1.3677894022969896	1.0052002570874712	1.4574793351294812	1.5160771871736836	1.1800409716474567	1.3040954169634986
Cre02.g092150	1.7052156226011046	1.3512611862815342	1.8268222552374946	1.9222356778089833	1.693272871248786	1.5688681200853742	1.6837686709323278	1.8002539889027893	1.7525794491581757	1.7525398052673757	2.0397736612682817	1.6097493000560454	1.3827746352675097	1.561856003425381	1.7457127188656136	1.5880817802828975	1.8346466042714615	2.1642616276097275	1.7712624391228506	1.9375474334309775	1.6276832404340362	1.7322232497837469	1.3488120264356538	1.7987677527105579	1.6191030816189262	1.6506458703897922	1.724515731009514
Cre02.g092284	1.1361703964970817	1.2259468277236987	1.4931703612951774	0.521790058659182	1.0283992399722615	1.0858424796568966	1.133702496681834	0.8494575002803508	0.9032116263492893	1.2097451811012447	0.8160123212263726	1.2533537671945827	1.2467876247957888	1.115767652686577	0.9426465263473125	1.0387324915067309	1.0996718314784932	1.0663314608109768	1.0823934448906212	1.340197304721692	0.9578169304911864	1.1470526388964886	1.3746403010907047	1.105764692172034	1.095720218938989	1.2496711746768507	1.011689767039532
Cre02.g092350	1.1675473406005823	2.0375946408370993	1.9672733245174738	1.532541991088698	1.6949264385899268	1.4774209562988316	1.8229400531518518	1.7990343554167985	1.5252929497845014	1.5475897327066555	1.517177263924494	1.4546747253529828	1.7880211855992831	1.7265306537816296	1.7933871110814084	1.7001089004908387	1.6281287351157872	1.3275446825019104	1.47515041955868	1.6492085815301325	1.7940304276991592	1.6942903219277492	1.7399521864522616	1.6363838235745363	1.6110913349843479	1.647459253853759	1.5602102996208258
Cre02.g092451	1.1639434302436327	1.2365517852855576	1.5003633607109261	0.8040317232278831	1.0455929366063266	0.9764767531366388	1.2172953760914436	1.250303537117137	1.0492640298359435	1.2870098447612326	1.0122246015790881	1.1208542062511182	0.9778138546125982	0.9669012753491057	1.1559232416426688	1.17090256420626	1.2156500301462907	0.9786834598757954	1.124317968047706	1.3102611708475607	1.1843141098710532	1.3988513872249195	1.152986567983804	1.237751709520644	1.2401829220846976	1.2370044337219865	1.1324544856897172
Cre02.g092500	1.0287036862791419	0.9174120679987545	1.2729251183817407	0.604808569544413	0.8057146811793513	0.6645911005860019	0.9420747742821801	0.9933384966562105	0.6338969330711249	0.9931899890105613	0.8234320312851969	0.8066424003216355	1.021494116125008	0.537240315754638	0.8398967590243522	1.078835135382407	0.9253325026599114	0.8938711182135046	0.6468770604524801	1.1081663967429185	0.8781045123916885	1.1901377814123957	1.0308458127385858	0.802749175941561	0.7941145076658858	1.0643399830833842	0.7695622072692576
Cre02.g092600	1.1118510691525703	1.2705881911434025	1.584215069520761	0.8069144478232655	1.0062889192819986	0.9842265944367973	1.2655106744851186	1.2464513764791325	0.8991959013677584	1.583634753450948	1.0498887297983752	0.9111330695326538	1.528110308162256	1.2854983710154295	1.1500082319305847	1.4794931754463443	1.18183806844905	1.1869012169840838	1.105527430629077	1.2487564109531613	1.3258896573634926	1.4119474466435749	1.7866373129611655	1.2856227644962719	1.6511349234076003	1.2540286206467408	1.3715251165809155
Cre02.g092650	1.8902519367487012	1.7072286340574137	1.4356402742703431	1.8327553430152084	1.9405780584339725	1.8141534053989539	2.0024616436450433	2.070233850488639	1.8539889436075319	2.2745139169928104	2.097764956988242	2.194319839137782	2.2905392243191462	2.150948560141654	2.0873407257425796	2.1667679840697063	2.3110358319541766	2.3184426787230525	2.18233052316271	2.3181087787620966	2.355131890253764	2.462509936777481	2.3288320938104023	2.372721887362802	2.5440436970659794	2.334333877455469	2.4062121923677493
