	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10	CREN_11	CREN_12	CREN_13	CREN_14
Cre16.g656650	1.712209965954592	-0.925056641590162	1.2773038028199637	1.3808600333990206	0.7460321722469935	1.1246951084490204	0.801767881519326	1.2508242640660276	1.0507380038286152	0.7329456377317216	1.3726642434446485	0.8180439628176507	0.9464765538267328	1.2305241109518668	1.0403635011541146	0.9293769562999538	1.1943385530089163	1.0558662066268694
Cre16.g657550	1.798375066806519	1.1219555503504175	1.356999519862263	1.8607966941947474	1.0588892722425782	1.159212263972283	1.1381286297581508	1.3973205685122398	1.75451198973589	1.4015004238727853	1.1929208665123618	1.2862012097540347	0.8547004654001651	1.3789423959605003	0.7912638422226943	1.1982038223812856	0.9747583476751626	1.0580349214827725
Cre16.g657650	2.594147308675357	2.7491206919309015	2.417949270704566	2.4338648516794454	2.9871527264152666	3.05699472016514	2.7680876310144615	3.015999889708674	3.2098941061620105	2.7945057951655623	2.886553130422319	3.0043963439566443	3.286454032449142	2.923263082805096	3.22784691561112	2.9440489282497757	2.8319266197841784	2.9391768701102374
Cre16.g657800	0.9135943937630012	-0.8204523769749383	0.4729451261276664	0.9277539679473292	0.7358735950627322	0.6297675128583734	0.5514623087140738	0.8148623788042312	0.8223844288290283	0.5739411738956791	0.9445186397374784	0.9928153036177212	1.3512974163752953	1.2140210515727645	0.5169911068755407	1.489745927781097	1.459595568041007	1.0116105293830053
Cre16.g657850	0.964915069387154	0.8866464365539029	1.265195202002732	1.3043606412874125	1.009239825828654	1.3651595133476095	1.0356854253910048	1.434004065468902	1.432396041556675	1.2610150990912417	1.4284498018457423	1.3471040776309557	1.3792412451226685	1.5524870993666622	1.1785258758194743	1.3576309711535224	1.4563942842955098	1.3483542000279536
Cre16.g801897	2.2263233686441826	1.6499383820837858	1.618417622463395	1.8524552299524137	1.9161985732378188	2.1131326087139533	2.1181286564013897	2.155677409410674	2.582455435228899	2.3909634876599792	2.5344060784537565	2.4250333223053393	2.071551683686813	2.423976818583994	1.7665529552292538	2.5337446244933512	2.516408764582464	2.307678330118635
Cre16.g658400	1.4552331611643157	-0.5217196078606986	1.6094139716077493	2.0988284103391583	2.5035496699204978	2.071335074695985	1.8110052085832713	2.3853649756109574	2.0169460249105544	2.4500008680827197	1.8365385570637889	2.1568733612479436	1.248949076408774	1.4275996815477767	1.9684700796618526	2.0223151673094324	1.4447628658734937	1.1339516292543264
Cre16.g659200	0.8495596334306579	-0.08054023983170633	0.35682437401635947	-0.0029972094495830815	0.7682041074010127	1.0399431154737802	0.7621246179760008	1.0757010824027047	1.4264860737921947	1.183194968246145	0.8140346648367899	0.9937376836085537	0.42786253393196905	0.8428304134108234	0.3060981807294672	1.4393804009002964	1.4669098633961628	1.4232877336318566
Cre16.g659350	2.058691224250995	1.1424677716573106	1.8527831841237883	2.2124237424274718	2.349690782679162	2.017579350902883	1.7690597291105554	2.1734784232072926	2.316447862763145	2.1908539678024095	2.087343864917593	2.291718142251919	1.9190133403296685	2.0339780719172578	2.0969808163847192	1.967133032662854	2.1026659426110474	1.8843017068564463
Cre16.g659850	1.2562052799277845	1.180281998470404	0.7141764752053333	1.2424095796101913	0.5832435802016243	0.6030714897871984	0.35720410792423013	0.5110850712384348	0.3974194166340973	-0.102892262652688	0.5830260048842857	0.0909416949079083	0.6295455859872734	0.7249928308760174	-0.12200264551898535	0.3196278740556949	1.0807267068222022	0.3993054024787209
