	Vg	CC2344_Vm	CC2931_Vm	average_Vm	expression_bins	average_ED
Cre01.g009300	0.0392102358434595	0.0020072142936867605	0.0015113900893497167	0.0017593021915182387	80	0.08183735972088732
Cre01.g009350	0.5509804219247622	0.001925214051696763	0.0021537184929169523	0.002039466272306858	90	0.19993694776312246
Cre01.g009800	0.549885860679136	0.0009738099450409937	0.0019582480486639046	0.0014660289968524492	60	0.06974865063980126
Cre01.g009900	0.4548752929116522	0.0018116240098086955	0.0013302298430984659	0.0015709269264535808	70	0.05302418034537595
Cre01.g009950	0.2703051131158132	0.0017214470045710693	0.0008665889398608785	0.001294017972215974	40	0.07240067553843184
Cre01.g010000	0.2031822226699689	0.002369113330819042	0.001363429006092695	0.0018662711684558683	90	0.08059350259818177
Cre01.g010300	2.6460437527457445	0.00291666666909678	0.00182396534407235	0.0023703160065845653	100	0.10791970708989165
Cre01.g800035	1.2475253918871905	0.0020538497576439055	0.0021759703936626786	0.002114910075653292	90	0.10442322534254496
Cre01.g010350	0.3534639741781817	0.0011654232733908354	0.0009510897940564971	0.0010582565337236662	20	0.07344250958319024
Cre01.g010400	1.1494767580954162	0.0019329987458055105	0.00070443016999183	0.0013187144578986703	40	0.05410296808889807
Cre01.g010450	0.3575632687067357	0.0014054034056724444	0.0015163690700302874	0.001460886237851366	60	0.07424118840156364
Cre01.g010500	0.294044955583182	0.0022103712918533592	0.0009990272982514324	0.001604699295052396	70	0.07796276737666039
Cre01.g010700	0.1318213434772072	0.0011906638836275628	0.0010030455424167625	0.0010968547130221626	20	0.12845762853082313
Cre01.g010816	0.2088884684164189	0.0030256576635285413	0.0018017593083632154	0.0024137084859458782	100	0.08938412560757958
Cre01.g010832	3.259124514849961	0.000803457664482322	0.0008703131728898792	0.0008368854186861006	10	0.2331744075548567
Cre01.g010848	0.5393353829988066	0.001453762199069428	0.002039798740022897	0.0017467804695461624	80	0.11723178379713535
Cre01.g010880	0.0	0.002071161185535896	0.0019449365603289937	0.0020080488729324448	90	0.09389777393616446
Cre01.g010900	1.8077407606486604	0.001021966553020896	0.0013377865021006255	0.0011798765275607608	30	0.08243881264293769
Cre01.g011000	0.2751570812121418	0.0014509359649100143	0.0010515423547679927	0.0012512391598390035	40	0.0701174968317658
Cre01.g011100	0.2147137891675979	0.0015814717398401046	0.0009027889828793468	0.0012421303613597257	40	0.07903457491065094
Cre01.g011200	0.1555569808385696	0.0026113832120271603	0.0018898548483520983	0.002250619030189629	100	0.14570947310998203
Cre01.g011350	0.1979600749907821	0.0015429490522175	0.0008161254472460155	0.0011795372497317577	30	0.06157610054759995
Cre01.g011450	0.2010261136808381	0.0007625003485641267	0.001303488575001225	0.0010329944617826759	20	0.04243097735896879
Cre01.g011500	0.1518691932048552	0.002920943322517783	0.0006814826106741241	0.0018012129665959534	80	0.030604999966479435
Cre01.g011600	0.181011433434692	0.001312676615098936	0.0009642781929261502	0.0011384774040125432	30	0.07891438063286994
Cre01.g012126	1.6331711115510756	0.0013064908700827962	0.0014063901885260478	0.001356440529304422	50	0.1712637664483581
Cre01.g012150	0.3729038999328673	0.0007573638983286604	0.0013849430785596035	0.001071153488444132	20	0.06995516680308311
