"Vm_gen"	"Vm_gen_noint"	"Vm_mut"	"Vm_mut_noint"	"Vm_gen_nomutator"	"Vm_gen_noint_nomutator"	"Vm_mut_nomutator"	"Vm_mut_noint_nomutator"
"Cre01.g000950"	0.000700963715240725	0.000700975753174981	0.0134202967722575	0.0134217684102761	0.000687869488825112	0.000687861412197699	1.71371856360696e-09	0.0106048541862029
"Cre01.g001000"	0.00101805057652596	0.00101805244651269	0.0204065776535425	0.0204064760869146	0.00101384605978181	0.0010138194230929	0.0110907789962691	0.011091014938777
"Cre01.g001100"	0.000650993090756828	0.000650986658409555	0.0779407931843977	0.0779384302956961	0.000668518770805642	0.000668508232857179	0	0.0284544173483534
"Cre01.g001150"	0.000685280148700946	0.000685275676924615	0.0595733586299149	0.0595757569373913	0.000639834179450419	0.000639848276533052	0	0.0262205544375306
"Cre01.g001200"	0.000503708985277048	0.000503722572875303	0.0663801114013863	0.0663784898800389	0.000535600858754186	0.000535594088378262	0.00442083389374334	0.0261079462914781
"Cre01.g001250"	0.000388603694480839	0.000388607667848912	0.0276155777148338	0.0276150260446731	0.000392069081200513	0.000392066296761595	0	0.0119472353400024
"Cre01.g001300"	0.00107956555102589	0.0010795602094833	0.0465684477094097	0.0465695526777518	0.00104309745392949	0.00104311513040996	0	0.0248247931588903
"Cre01.g001350"	0.000730908656300215	0.000730917442540491	0.0570713993107074	0.0570718775432504	0.000729547532645126	0.000729575430584091	9.0927188426384e-10	0.0231074540640646
"Cre01.g001400"	0.000878871162096197	0.000878890937862435	0.106436511375433	0.106434664545758	0.000870821614554409	0.000870827480079259	1.37459566390544e-10	0.038379369381136
"Cre01.g001450"	0.000774540136703432	0.000774529010566085	0.0383290605910946	0.0383289083322508	0.000810754351510389	0.000810752932141791	0.00754995532211234	0.0168497749842314
"Cre01.g001501"	0.000306193702841366	0.000306183694065469	0.0215006824303955	0.0215006823048005	0.000272394802099822	0.000272395585115061	0	0.00988448205648269
"Cre01.g001550"	0.000511746642885696	0.000511726989588993	0.0683346760306917	0.0683347584548678	0.000513125394661199	0.000513134948155788	9.34119174116274e-09	0.0250386023966022
"Cre01.g001600"	0.000285266392271592	0.000285258462888488	0.0554746511197938	0.0554757387227455	0.000289850337067365	0.000289850279630225	1.57988675593572e-09	0.0188653636471585
"Cre01.g001650"	0.000640635774210709	0.000640650073999637	0.0227169096285332	0.0227173190176187	0.000683327311758379	0.000683308940527609	0.0102632574509863	0.0102632433556433
"Cre01.g001657"	0.000762967778097924	0.000762988352941444	0.0315683650347292	0.0315679096492238	0.000797732266448276	0.000797723384456361	0.00431570190884809	0.0147937488531356
"Cre01.g001664"	0.000554879095972066	0.00055486279531879	0.0251256639732228	0.0251252784453805	0.000577395552875947	0.000577395228733488	0.00585427549866172	0.0114146772848818
"Cre01.g001678"	0.000290105478537787	0.000290101354257084	0.0728491940264719	0.0728487751067779	0.000274843960349049	0.00027483155585662	0	0.0242673136887241
"Cre01.g001700"	0.000301851875920087	0.000301837117349471	0.0685572917330897	0.0685583159784503	0.00030646884193155	0.000306461976155792	1.88973903120397e-09	0.0267081189351444
"Cre01.g001750"	0.000312742722705295	0.00031275298264376	0.0723468352424368	0.072347430742186	0.000297611694532219	0.000297610243497692	2.23307493694024e-09	0.0252143554372115
"Cre01.g001800"	0.000514726361839791	0.000514734772106045	0.0630007601611087	0.0630009430509847	0.000510104504655429	0.000510089860765214	1.01232031766073e-10	0.0244484607546568
"Cre01.g001950"	0.0004047448843364	0.00040475167330318	0.0453736098160441	0.0453757659890775	0.000377620257862758	0.00037761225856229	1.02592521903469e-10	0.0175383399661581
"Cre01.g001983"	0.000437985153067968	0.000437985879476437	0.0704770383652482	0.0704751115931237	0.000412482988594635	0.000412502048016067	1.6789300521723e-08	0.0251987400709762
"Cre01.g002050"	0.000524373549979875	0.000524379461279313	0.0349160539570171	0.0349167643760467	0.000487545981776623	0.000487558598272896	3.09647903578305e-10	0.0144581764917759
"Cre01.g002100"	0.000327166504719705	0.000327171784362201	0.0328162143222556	0.0328167420377757	0.000302865094546242	0.000302859351729039	0	0.014129370153462
"Cre01.g002150"	0.000930859225386973	0.000930858332262202	0.0452728799748038	0.0452724561748348	0.000897222759355162	0.000897227052993508	0	0.0196891741864779
"Cre01.g002200"	0.000404429922490099	0.000404416253250837	0.0486932731162446	0.0486930556402813	0.000405666709264306	0.000405661577560774	0	0.0169169532399504
"Cre01.g002201"	0.00070965106761932	0.000709662183432108	0.0172894459226449	0.0172891864957569	0.000700330921905726	0.000700313651634157	1.44993347367029e-10	0.0112925628766591
"Cre01.g002227"	0.000266667180587579	0.000266659553640481	0.020820438547161	0.0208202309772274	0.000238583074931472	0.000238591577611079	0	0.00944744476030341
"Cre01.g002250"	0.000405126317086904	0.000405137684248841	0.0261515899437916	0.0261513910642495	0.000346603477277748	0.000346607405279806	0.00779533704612382	0.0123937544052032
"Cre01.g002300"	0.000405012047096997	0.000405017303556758	0.154001449285237	0.154001508253181	0.000345077710785417	0.000345086951964736	0	0.0534918096322072
"Cre01.g002350"	0.000465001982212533	0.000464995811237445	0.0506935872086032	0.0506933662268405	0.000434633888265278	0.000434632108112706	7.85839747600265e-09	0.0194805216268369
"Cre01.g002400"	0.000485311903224795	0.000485308000777281	0.0374551346145432	0.0374552597479396	0.000461336154297521	0.00046134694451277	0	0.0160453412384779
"Cre01.g002500"	0.000272518838244188	0.000272521082980622	0.0858739483326359	0.0858723606270011	0.000255182697083136	0.000255173959581611	1.85207016579689e-10	0.0261350229630956
"Cre01.g002550"	0.00046571894195495	0.000465725931920419	0.0620992357111755	0.0620964581216494	0.000477396677845578	0.000477390490743396	0	0.0220725284169294
"Cre01.g002600"	0.000240607107017812	0.000240606766657341	0.0326016677354001	0.0326016105517807	0.000260451055683023	0.000260449625531724	0.00485420104117869	0.011753228659134
"Cre01.g002650"	0.000355276005319043	0.000355269641589783	0.018886438938382	0.0188867543694698	0.000386555331826697	0.00038654972742583	0.00649507534032398	0.00649493533121807
"Cre01.g002700"	0.000730941078716282	0.000730935277378152	0.0452960343468436	0.0452969570962206	0.000738228047239714	0.000738237303702965	2.64562587862603e-10	0.021132773072032
"Cre01.g002750"	0.000703682417171643	0.000703687045906717	0.0249560173428294	0.0249570481723968	0.000738381889106826	0.00073838825757721	1.45915178667858e-10	0.0158317821228848
"Cre01.g002787"	0.000496790687540222	0.000496802828524868	0.0531628807652213	0.0531631198321622	0.000437199626597608	0.000437182560880754	1.300111830823e-08	0.0205945523237935
"Cre01.g002900"	0.000485199845724041	0.000485219307082754	0.0290108786236106	0.0290114945599937	0.000517112498437697	0.000517129922093728	0.0101126845952318	0.0101127512524988
"Cre01.g002950"	0.000386848712995057	0.000386839038973417	0.0423959932450151	0.0423958370091613	0.000385168019574953	0.000385169150146895	7.95383002738943e-10	0.0161745157774846
"Cre01.g003000"	0.000404493359557936	0.000404494409879411	0.0323726341719899	0.0323723083349614	0.000416477310694505	0.000416466566705694	0	0.0139865970225978
"Cre01.g003050"	0.000428385707271836	0.00042838392523383	0.044945884079889	0.0449443904305849	0.000413928487003136	0.000413943363228377	0	0.0177504421322309
"Cre01.g003100"	0.000372023560536185	0.000372012871724433	0.02341873427179	0.023419531580393	0.000389789123620899	0.000389781048867762	0.00383123815707144	0.0092784568599247
"Cre01.g003150"	0.000443593129353126	0.000443590687345415	0.0383559969960599	0.0383558284911153	0.000396863551873819	0.000396858796948201	0	0.0158672930701402
