"","GB117","GB119","GB49","GB141","GB66","GB57","GB13","GB123","CC2344","CC2931","CL3","W13.1","W13.2","JG4","BMS1","CC3063","CC3060","CC3061","CC2932","CC3079","CC3059","CC1952","CC2343","CC2342"
"CL3",0.833190726931149,0.812631841849735,0.659750698574718,0.788252176874753,0.830187884082558,0.73719750670416,0.769308202951797,0.852845756679314,0.823856719031621,0.815071874214205,1,0.83910410360868,0.890021565038283,0.913618629727569,0.904480297738035,0.851011562832222,0.852259380498912,0.709334022353682,0.739909387835784,0.824782006408586,0.903384895735955,0.769358229727771,0.780172712655243,0.84112242300999
"W13.1",0.874351310540588,0.860336762655566,0.685811249398382,0.829813839104367,0.895076415344703,0.753497645374607,0.815846045995956,0.888206666790367,0.706891084212473,0.744224656140878,0.83910410360868,1,0.928484494285621,0.873953356435713,0.799131147672321,0.864561914115673,0.920683956058979,0.686523211107446,0.681527553952586,0.878423255504055,0.904858121662415,0.770195382794458,0.806620741795492,0.844522851645981
"W13.2",0.925401506376937,0.934494523221638,0.752176430761819,0.90453658042824,0.933173324801669,0.81838214987002,0.902161804559011,0.945725660390327,0.816317158235021,0.844000542044608,0.890021565038283,0.928484494285621,1,0.907954933565663,0.877606860726171,0.943027731251706,0.955612803424751,0.761891315936438,0.766130146852194,0.953172927749922,0.933224067669501,0.83831799581284,0.895682656631421,0.924344458261019
"JG4",0.865155931714492,0.865325578044717,0.734700301396999,0.844381828405399,0.864941165413236,0.775291258407226,0.818480071479611,0.851551347633845,0.814016552062885,0.871940884433577,0.913618629727569,0.873953356435713,0.907954933565663,1,0.918204619862889,0.918201631186882,0.892513659918775,0.810929509631837,0.850230490367372,0.884091167121611,0.909817477092294,0.86560069425051,0.851480843322883,0.922672166746421
"BMS1",0.809264779173144,0.851885942895267,0.748277071229129,0.845316604661647,0.842848305923827,0.788523649151829,0.855762029000792,0.846510522265097,0.839540056452477,0.872326659288617,0.904480297738035,0.799131147672321,0.877606860726171,0.918204619862889,1,0.920554344898478,0.876131890117759,0.858574959460178,0.876797073188485,0.872014817642172,0.899430040929201,0.884736473845729,0.86657250836942,0.929399042227256
"CC3063",0.88481458521163,0.935395630155904,0.802050948277542,0.922603014226761,0.903713381094708,0.839353355120132,0.933459251792023,0.896332050229998,0.785738833332901,0.8671978889131,0.851011562832222,0.864561914115673,0.943027731251706,0.918201631186882,0.920554344898478,1,0.937102308818338,0.851229924239145,0.845580087292831,0.96128473167438,0.90962259892319,0.895262306472598,0.934387081417678,0.977763783062144
"CC3060",0.892548620051734,0.924163788594372,0.804679280955265,0.911896091342327,0.898322409151142,0.842020446516943,0.8835616876027,0.899821515131152,0.760561012024146,0.811668565620694,0.852259380498912,0.920683956058979,0.955612803424751,0.892513659918775,0.876131890117759,0.937102308818338,1,0.789207929597765,0.758295998314581,0.943178480432596,0.921259560906047,0.843861492320802,0.893527625365965,0.920051596067139
"CC3061",0.748509029762283,0.816136491087081,0.82064863138068,0.832404928877375,0.76920867090474,0.815399461117995,0.787152440439003,0.724317551510541,0.779092211090616,0.902923104315086,0.709334022353682,0.686523211107446,0.761891315936438,0.810929509631837,0.858574959460178,0.851229924239145,0.789207929597765,1,0.89394491524005,0.811701071770609,0.810743383773556,0.939863362699436,0.837451661068892,0.852245276270796
"CC2932",0.709703509454267,0.753062178063311,0.639344909711104,0.746455096678458,0.762995059737791,0.661841025297477,0.772760745922645,0.714297646789139,0.785353472680576,0.881719650962339,0.739909387835784,0.681527553952586,0.766130146852194,0.850230490367372,0.876797073188485,0.845580087292831,0.758295998314581,0.89394491524005,1,0.807090181982466,0.812862784439548,0.927769139208031,0.873060967183485,0.85539077666263
"CC3079",0.886028266379875,0.9277478865892,0.788527404454692,0.91120044343843,0.902336594761473,0.824421463457466,0.914824239939062,0.899840811972829,0.752431206104511,0.824941558693422,0.824782006408586,0.878423255504055,0.953172927749922,0.884091167121611,0.872014817642172,0.96128473167438,0.943178480432596,0.811701071770609,0.807090181982466,1,0.9097117713667,0.8676996929166,0.950180544665571,0.955105964250605
"CC3059",0.864517193922215,0.864353912989319,0.7280402427719,0.841638631131514,0.885379059046597,0.781694737811226,0.833042612606477,0.88198913187717,0.805546969574706,0.834754247873456,0.903384895735955,0.904858121662415,0.933224067669501,0.909817477092294,0.899430040929201,0.90962259892319,0.921259560906047,0.810743383773556,0.812862784439548,0.9097117713667,1,0.86240202995141,0.881199388711184,0.889992186370954
"CC1952",0.793315595564723,0.833049836130715,0.723835202817439,0.828200963816984,0.822466450805256,0.743748063098315,0.818837818586,0.789394751483694,0.821923715471992,0.921654021828855,0.769358229727771,0.770195382794458,0.83831799581284,0.86560069425051,0.884736473845729,0.895262306472598,0.843861492320802,0.939863362699436,0.927769139208031,0.8676996929166,0.86240202995141,1,0.898973410276246,0.888145840375095
"CC2343",0.797646300677946,0.853580563354131,0.709028671916586,0.843829581930435,0.859351078405616,0.744193134754912,0.867109268781914,0.836880789100394,0.745250776828931,0.8229382657917,0.780172712655243,0.806620741795492,0.895682656631421,0.851480843322883,0.86657250836942,0.934387081417678,0.893527625365965,0.837451661068892,0.873060967183485,0.950180544665571,0.881199388711184,0.898973410276246,1,0.931863318922259
"CC2342",0.863483449041671,0.91640490720212,0.795477849729957,0.901831682576684,0.891895416293807,0.821116265067765,0.921091385486773,0.884250106392173,0.787082673097839,0.859372572066654,0.84112242300999,0.844522851645981,0.924344458261019,0.922672166746421,0.929399042227256,0.977763783062144,0.920051596067139,0.852245276270796,0.85539077666263,0.955105964250605,0.889992186370954,0.888145840375095,0.931863318922259,1
