Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC3059	GB13	0.1195	265.0156666002724	NA1	0.8805000000000001
CC3059	GB141	0.1318	234.15173792581814	NA1	0.8682
CC3059	GB66	0.1269	241.34206553171742	NA1	0.8731
CC3059	JG4-1	0.1601	208.91159568284928	NA1 x NA2	0.8399
CC3059	W13-1	0.1587	216.99996595250548	NA1 x NA2	0.8412999999999999
CC3059	W13-2	0.1481	220.59268640423798	NA1 x NA2	0.8519
CC3060	CC3061	0.1212	227.4660730232167	NA1	0.8788
CC3060	CC3063	0.1257	186.6434245388034	NA1	0.8743
CC3060	CC3079	0.1697	213.08895664561834	NA1 x NA2	0.8303
CC3060	CL3-1	0.1688	221.0676640256938	NA1 x NA2	0.8311999999999999
CC3060	GB117	0.1122	214.0920581247778	NA1	0.8878
CC3060	GB119	0.1254	198.46833777823176	NA1	0.8746
CC3060	GB123	0.1136	201.89864516856298	NA1	0.8864
CC3060	GB13	0.1102	221.4979296204959	NA1	0.8898
CC3060	GB141	0.1292	202.71479432211004	NA1	0.8708
CC3060	GB66	0.1255	225.87731680716308	NA1	0.8745
CC3060	JG4-1	0.1604	209.78278954705786	NA1 x NA2	0.8396
CC3060	W13-1	0.152	210.37196114523567	NA1 x NA2	0.848
CC3060	W13-2	0.1435	205.94623965664763	NA1 x NA2	0.8565
CC3061	CC3063	0.1243	207.9546223254249	NA1	0.8757
CC3061	CC3079	0.1695	217.2357708625798	NA1 x NA2	0.8305
CC3061	CL3-1	0.167	258.39318257111876	NA1 x NA2	0.833
CC3061	GB117	0.1127	234.20304113679535	NA1	0.8873
CC3061	GB119	0.128	223.1556990985308	NA1	0.872
CC3061	GB123	0.1194	221.3656894965645	NA1	0.8806
CC3061	GB13	0.1167	227.48501507170354	NA1	0.8833
CC3061	GB141	0.1366	218.8687934125679	NA1	0.8634
CC3061	GB66	0.1254	236.45519247867693	NA1	0.8746
CC3061	JG4-1	0.1556	239.16720551216886	NA1 x NA2	0.8444
CC3061	W13-1	0.1571	254.60573471921697	NA1 x NA2	0.8429
CC3061	W13-2	0.1456	244.88714859162422	NA1 x NA2	0.8544
CC3063	CC3079	0.178	202.23892438609255	NA1 x NA2	0.8220000000000001
CC3063	CL3-1	0.1668	216.99200601211882	NA1 x NA2	0.8331999999999999
CC3063	GB117	0.1217	210.3274276726283	NA1	0.8783
CC3063	GB119	0.1342	203.20078524576843	NA1	0.8658
CC3063	GB123	0.1286	200.57490013074775	NA1	0.8714
CC3063	GB13	0.1288	220.66688393376526	NA1	0.8712
CC3063	GB141	0.1433	207.53109193950053	NA1	0.8567
CC3063	GB66	0.1313	224.22858951830344	NA1	0.8687
CC3063	JG4-1	0.1618	210.87653424504762	NA1 x NA2	0.8382000000000001
CC3063	W13-1	0.1602	231.5994717324468	NA1 x NA2	0.8398
CC3063	W13-2	0.1526	206.9804128628422	NA1 x NA2	0.8473999999999999
CC3079	CL3-1	0.147	222.49113238318085	NA2	0.853
CC3079	GB117	0.1645	226.3654832260954	NA1 x NA2	0.8355
CC3079	GB119	0.1605	206.24702500155078	NA1 x NA2	0.8395
CC3079	GB123	0.1718	220.12168665884	NA1 x NA2	0.8282
CC3079	GB13	0.1635	244.5764382952238	NA1 x NA2	0.8365
